,,,,,,,,Revenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Revenue Share %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spend Share %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,Monthly Growth Revenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Monthly Growth Spends,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Growth Gap (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CQGR% (Revenue),,,,12-M CMGR%,6-M CMGR%,YoY Quarter Growth,2024 - 2025,,,2025 - 2026,,,2026 - 2027,,,2027 - 2028,,,Seasonal Influence,,,,,,,,,,,
FACE MALAI TOTAL,Face Malai,Bigbasket,QUICK COMMERCE,Tanu,Existing,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FACE MALAI TOTAL,Face Malai,Firstcry,ECOMMERCE,Tanu,Existing,Jan'25,Yes,,,,,,,,,,,,,24741,,,44623,40146,35721,42244,42305,45602,66680,127035,93098,91381,75028,69903,73865,84186,95071,103246,116577,93187,106108,124092,136329,150096,160604,180425,213622,228891,247203,133538,140881,153842,169226,189534,202801,216998,230017,243819,,,,,,,,,,,,,,,,,,,,,,,,8188,21794,19626,21864,17852,12094,13658,14832,16748,13388,15243,17827,19584,21563,23072,25920,29165,31250,33750,18231,19235,21003,23104,25877,27688,29625,31403,33288,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%,0%,0%,1%,1%,1%,1%,1%,2%,2%,2%,2%,2%,2%,2%,3%,4%,4%,4%,4%,3%,3%,3%,3%,4%,4%,4%,4%,4%,4%,2%,2%,2%,2%,2%,2%,2%,2%,2%,,,,,,,,,,,,,,,,,,,,,,,,1%,3%,3%,4%,3%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,1%,1%,1%,1%,1%,1%,1%,1%,1%,,,,,,,,,,,,,,,,,,,,,,,,11.4,4.2,3.8,3.2,4.1,,,,,-10%,-11%,18%,0%,8%,46%,91%,-27%,-2%,-18%,-7%,6%,14%,13%,9%,13%,-20%,14%,17%,10%,10%,7%,12%,18%,7%,8%,-46%,5%,9%,10%,12%,7%,7%,6%,6%,,,,,,,,,,,,,166%,-10%,11%,-18%,-32%,13%,9%,13%,-20%,14%,17%,10%,10%,7%,12%,13%,7%,8%,-46%,6%,9%,10%,12%,7%,7%,6%,6%,,,,,,,,,,,,168%,8%,18%,-24%,-46%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,-6%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,20%,1%,48%,,,1%,855%,24741,98965,,773767,838841,,1423786,1964500,,2370372,2763336,,120491,130150,286814,166409,30123,43383,95605,83204,44%,120%,-13%,176%
FACE MALAI TOTAL,Face Malai,OTHERS,OTHERS,Tanu,Existing,Jan'24,Yes,43942,68991,65508,62563,51809,108710,145609,72664,104017,117406,230650,334504,,148025,196945,148741,27485,3443,6059,7571,6746,120353,104458,31128,169474,67925,65628,,84186,95071,103246,116577,93187,106108,124092,136329,150096,160604,180425,213622,228891,247203,267073,281764,307685,338453,379067,405603,433994,460035,487636,,,,,,,,,,,,348531,,,665611,,,,,,,,,,1,,,,12094,13658,14832,16748,13388,15243,17827,19584,21563,23072,25920,29165,31250,33750,36462,38467,42007,46207,51751,55375,59251,62806,66575,1%,2%,2%,2%,2%,4%,4%,3%,4%,4%,5%,7%,0%,4%,5%,4%,1%,0%,0%,0%,0%,3%,2%,1%,4%,2%,2%,0%,4%,4%,4%,4%,3%,3%,3%,3%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,,,,,,,,,,,,17%,,,32%,,,,,,,,,,0%,,,,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,,,,,,,,,,,,1.0,,,0.3,,,,,,,,,,169473.9,,,,,,33%,-24%,-82%,-87%,76%,25%,-11%,1684%,-13%,-70%,444%,-60%,-3%,,,13%,9%,13%,-20%,14%,17%,10%,10%,7%,12%,18%,7%,8%,8%,6%,9%,10%,12%,7%,7%,6%,6%,,,,,,,,,,,,,,,,,,13%,9%,13%,-20%,14%,17%,10%,10%,7%,12%,13%,7%,8%,8%,5%,9%,10%,12%,7%,7%,6%,6%,,,,,,,,,,,,,,,,,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,-6%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,-79%,127%,,-9%,-10%,-12%,1572902,1379880,,759010,787531,,1349921,1964500,,4051026,5526660,,376613,20377,255938,237399,94153,6792,85313,118700,-93%,1156%,39%,26%
FACE MALAI TOTAL,Face Malai,TOTAL,TOTAL,Tanu,Existing,Jan'24,Yes,3787226,3472456,4336745,3902099,3084758,2556340,3536551,2870257,2673804,2926909,4479339,4474494,4023725,3360513,3842339,3920509,3101075,2848814,3303595,2902193,2902675,3728154,6541246,5389467,3839472,3087888,3070370,2887411,2146735,2329211,2529522,2681292,2842170,3183230,3660714,3953571,4277762,4577207,4961692,5874587,6180064,6550869,6943919,7325835,7692125,8461340,9476700,10140068,10849873,11500865,12190919,1583380,1283910,1537706,1071262,861818,895349,1929687,1603813,917757,1251872,2098584,2036487,1787201,1272599,2062330,1988607,1417948,993304,1111382,841257,703595,1163233,2362242,1407064,675701,671579,562026,529448,612699,657563,714109,759890,760292,836919,917875,995081,1058702,1149036,1228922,1439402,1486074,1569849,1677806,1770086,1839891,2014091,2254441,2412251,2581108,2735974,2900132,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,2.4,2.7,2.8,3.6,3.6,2.9,1.8,1.8,2.9,2.3,2.1,2.2,2.3,2.6,1.9,2.0,2.2,2.9,3.0,3.4,4.1,3.2,2.8,3.8,5.7,4.6,5.5,5.5,-10%,-16%,14%,2%,-21%,-8%,16%,-12%,0%,28%,75%,-18%,-29%,-20%,-1%,-6%,-26%,9%,9%,6%,6%,12%,15%,8%,8%,7%,8%,18%,5%,6%,6%,6%,5%,10%,12%,7%,7%,6%,6%,-12%,-29%,62%,-4%,-29%,-30%,12%,-24%,-16%,65%,103%,-40%,-52%,-1%,-16%,-6%,16%,7%,9%,6%,0%,10%,10%,8%,6%,9%,7%,17%,3%,6%,7%,6%,4%,9%,12%,7%,7%,6%,6%,-12%,48%,-6%,-8%,-22%,-4%,-12%,-16%,37%,28%,-23%,-23%,19%,-16%,0%,41%,-1%,0%,0%,-6%,-2%,-5%,0%,-2%,2%,-1%,-1%,-2%,0%,1%,0%,-1%,-1%,0%,0%,0%,0%,0%,-16%,-14%,28%,-33%,-2%,-3%,-11%,41731128,44906308,43445169,44635458,36844440,36844437,40030517,55266644,55266656,103187164,138166628,138166640,13712737,9108463,15658867,6927360,3428184,3036154,5219622,3463680,-11%,72%,-34%,1%
NETRAA SERUM TOTAL,Pure Netraa,D2C,D2C,Mansi,Existing,Jan'24,Yes,523253,491150,524022,592727,562030,456976,606814,517462,434596,478390,566162,537201,662776,602013,495096,625268,449159,402018,499016,409941,465227,447107,575495,543381,478712,406353,371604,424092,134756,143227,155544,164653,166516,181232,196965,217911,221534,243120,252534,119599,116382,126889,138459,146074,144857,159342,178463,190956,204323,216582,229577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69679,74060,80428,85138,86102,93711,96754,107043,108823,119426,124051,58750,57170,62331,68014,71755,71157,78273,83282,89112,95350,101071,107135,58%,57%,60%,67%,60%,58%,66%,64%,58%,57%,61%,56%,61%,58%,52%,60%,41%,45%,49%,44%,53%,46%,46%,52%,42%,36%,43%,48%,33%,33%,33%,33%,31%,30%,29%,29%,28%,28%,27%,27%,25%,26%,26%,26%,25%,25%,25%,25%,25%,25%,25%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60%,60%,60%,59%,58%,57%,55%,56%,53%,54%,52%,53%,50%,51%,52%,52%,50%,50%,47%,47%,47%,47%,47%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23%,-9%,-18%,26%,-28%,-10%,24%,-18%,13%,-4%,29%,-6%,-12%,-15%,-9%,14%,-68%,6%,9%,6%,1%,9%,9%,11%,2%,10%,4%,-53%,-3%,9%,9%,5%,-1%,10%,12%,7%,7%,6%,6%,,,,,,,,,,,,,,,,,,6%,9%,6%,1%,9%,3%,11%,2%,10%,4%,-53%,-3%,9%,9%,6%,-1%,10%,6%,7%,7%,6%,6%,,,,,,,,,,,,,,,,,0%,0%,0%,0%,0%,-5%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,-6%,0%,0%,0%,0%,-22%,-14%,4%,,-2%,-3%,-29%,6512243,7039540,,5673281,4459248,,2502084,2868752,,1971503,2601928,,1971541,1374184,1565983,885065,492885,458061,521994,442533,-7%,14%,-15%,-10%
NETRAA SERUM TOTAL,Pure Netraa,NYKAA,ECOMMERCE,Mansi,Existing,Jan'24,Yes,90621,129285,95973,104560,134316,87204,120587,95911,92821,92152,155135,134327,124632,171725,160845,206323,217192,168582,252139,152710,158832,46830,292136,236880,200119,248976,174661,133029,63415,71613,77772,76838,83258,97586,114896,127115,140976,132611,151520,71759,77588,84593,92306,97383,90535,99589,111540,119347,127702,135364,143486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4692,5299,5755,5686,6161,7221,8502,9406,10431,9812,11212,5310,5741,6259,6830,7206,6699,7369,8253,8831,9449,10016,10617,10%,15%,11%,12%,14%,11%,13%,12%,12%,11%,17%,14%,11%,16%,17%,20%,20%,19%,25%,16%,18%,5%,23%,23%,18%,22%,20%,15%,16%,16%,16%,15%,16%,16%,17%,17%,17%,15%,16%,16%,17%,17%,18%,18%,16%,16%,16%,16%,16%,16%,16%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4%,4%,4%,4%,4%,4%,5%,5%,5%,4%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7%,38%,-6%,28%,5%,-22%,50%,-39%,4%,-71%,524%,-19%,-16%,24%,-30%,-24%,-52%,13%,9%,-1%,8%,17%,18%,11%,11%,-6%,14%,-53%,8%,9%,9%,6%,-7%,10%,12%,7%,7%,6%,6%,,,,,,,,,,,,,,,,,,13%,9%,-1%,8%,17%,18%,11%,11%,-6%,14%,-53%,8%,9%,9%,6%,-7%,10%,12%,7%,7%,6%,6%,,,,,,,,,,,,,,,,,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,16%,-12%,-3%,,1%,25%,36%,1474215,1828810,,2355380,2095932,,1270629,1700428,,1251192,1626208,,752942,563681,575846,449095,188236,187894,191949,224548,0%,2%,17%,19%
NETRAA SERUM TOTAL,Pure Netraa,AMAZON,ECOMMERCE,Mansi,Existing,Jan'24,Yes,248597,200042,203838,146209,187859,149941,128097,137016,154745,196182,150262,181448,176119,160659,168668,68988,288492,215176,172428,282478,157446,252076,255320,165085,327872,291220,209732,270802,142683,152178,165266,175630,190305,209114,246206,254229,281953,309425,328294,155479,168107,169186,184611,194765,217285,239013,267695,286434,306484,324873,344365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29329,31281,33971,36101,39118,42984,48078,49645,55059,60423,64108,30361,32827,33038,36050,38033,42430,46673,56500,60455,64687,68568,72682,28%,23%,23%,16%,20%,19%,14%,17%,21%,23%,16%,19%,16%,15%,18%,7%,26%,24%,17%,30%,18%,26%,20%,16%,29%,26%,24%,31%,35%,35%,35%,35%,36%,35%,36%,34%,35%,36%,35%,35%,36%,34%,35%,35%,38%,37%,37%,38%,37%,38%,37%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25%,25%,25%,25%,26%,26%,27%,26%,27%,27%,27%,27%,29%,27%,28%,28%,30%,30%,32%,32%,32%,32%,32%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3%,-9%,5%,-59%,318%,-25%,-20%,64%,-44%,60%,1%,-35%,99%,-11%,-28%,29%,-47%,7%,9%,6%,8%,10%,18%,3%,11%,10%,6%,-53%,8%,1%,9%,6%,12%,10%,12%,7%,7%,6%,6%,,,,,,,,,,,,,,,,,,7%,9%,6%,8%,10%,12%,3%,11%,10%,6%,-53%,8%,1%,9%,6%,12%,10%,21%,7%,7%,6%,6%,,,,,,,,,,,,,,,,,0%,0%,0%,0%,0%,-6%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,9%,0%,0%,0%,0%,11%,51%,-2%,,2%,-3%,64%,1937205,2021786,,2686313,2516784,,2726085,3678688,,2858297,3902888,,741324,612352,672481,619092,185331,204117,224160,309546,10%,10%,38%,67%
NETRAA SERUM TOTAL,Pure Netraa,FLIPKART,ECOMMERCE,Mansi,Existing,Jan'24,Yes,18727,19827,18137,17913,22522,28992,22391,28992,38816,38802,17090,22804,40085,32077,30624,43109,49080,20304,16474,14854,17034,18545,13250,14232,20211,18061,17348,15780,23781,26855,29165,32931,35682,41823,49241,54478,60418,66305,75760,35880,38794,42296,46153,48691,54321,59753,66924,71608,76621,81218,86091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6274,7086,7695,8689,9414,11035,12992,14374,15941,17494,19989,9467,10236,11160,12177,12847,13616,14977,16775,17949,19205,20357,21579,2%,2%,2%,2%,2%,4%,2%,4%,5%,5%,2%,2%,4%,3%,3%,4%,4%,2%,2%,2%,2%,2%,1%,1%,2%,2%,2%,2%,6%,6%,6%,7%,7%,7%,7%,7%,7%,8%,8%,8%,8%,9%,9%,9%,9%,9%,9%,9%,9%,9%,9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5%,6%,6%,6%,6%,7%,7%,7%,8%,8%,8%,8%,9%,9%,9%,9%,10%,10%,10%,10%,10%,10%,10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76%,-20%,-5%,41%,14%,-59%,-19%,-10%,15%,9%,-29%,7%,42%,-11%,-4%,-9%,51%,13%,9%,13%,8%,17%,18%,11%,11%,10%,14%,-53%,8%,9%,9%,5%,12%,10%,12%,7%,7%,6%,6%,,,,,,,,,,,,,,,,,,13%,9%,13%,8%,17%,18%,11%,11%,10%,14%,-53%,8%,9%,9%,6%,6%,10%,12%,7%,7%,6%,6%,,,,,,,,,,,,,,,,,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,-6%,0%,0%,0%,0%,0%,0%,-29%,-37%,-7%,,-5%,-1%,-46%,341108,411144,,262502,208176,,512219,809932,,708350,975720,,143117,48362,46027,38272,35779,16121,15342,19136,-55%,-5%,25%,-47%
NETRAA SERUM TOTAL,Pure Netraa,MYNTRA,ECOMMERCE,Mansi,Existing,Jan'25,Yes,,,,,,,,,,,,,74160,,,,58241,67388,55256,46852,49730,37654,35199,39252,40701,25919,45075,23369,7927,8952,9722,10977,11894,13941,16414,18159,20139,22102,25253,11960,12931,14099,15384,16230,18107,19918,22308,23869,25540,27073,28697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,852,962,1044,1179,1278,1498,1763,1951,2164,2374,2713,1285,1389,1515,1653,1744,1945,2140,2397,2564,2744,2909,3083,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,7%,0%,0%,0%,5%,8%,5%,5%,6%,4%,3%,4%,4%,2%,5%,3%,2%,2%,2%,2%,2%,2%,2%,2%,2%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16%,-18%,-15%,6%,-24%,-7%,12%,4%,-36%,74%,-48%,-66%,13%,9%,13%,8%,17%,18%,11%,11%,10%,14%,-53%,8%,9%,9%,5%,12%,10%,12%,7%,7%,6%,6%,,,,,,,,,,,,,,,,,,13%,9%,13%,8%,17%,18%,11%,11%,10%,14%,-53%,8%,9%,9%,6%,12%,10%,12%,7%,7%,6%,6%,,,,,,,,,,,,,,,,,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,-5%,,-16%,,,3%,51%,74160,296640,,501267,540900,,188849,269976,,236116,325240,,125629,151838,112105,66620,31407,50613,37368,33310,61%,-26%,-11%,6%
NETRAA SERUM TOTAL,Pure Netraa,BLINKIT,QUICK COMMERCE,Mansi,Existing,Mar'26,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NETRAA SERUM TOTAL,Pure Netraa,INSTAMART,QUICK COMMERCE,Mansi,Existing,Aug'25,Yes,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NETRAA SERUM TOTAL,Pure Netraa,ZEPTO,QUICK COMMERCE,Mansi,Existing,Aug'25,Yes,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NETRAA SERUM TOTAL,Pure Netraa,RETAIL,Retail,Mansi,Existing,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NETRAA SERUM TOTAL,Pure Netraa,Bigbasket,QUICK COMMERCE,Mansi,Existing,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NETRAA SERUM TOTAL,Pure Netraa,Firstcry,ECOMMERCE,Mansi,Existing,Jan'25,Yes,,,,,,,,,,,,,8948,,,17082,21020,18700,19420,15953,24879,25795,30185,24202,28897,28887,19083,19375,15854,17903,19443,21954,23788,27882,32828,36318,40279,44204,50507,23920,25863,28198,15384,16230,18107,19918,22308,23869,25540,27073,28697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2278,2572,2793,3154,3417,4006,4716,5218,5787,6350,7256,3266,3531,3850,2100,2216,2472,2719,3046,3259,3487,3696,3918,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%,0%,0%,2%,2%,2%,2%,2%,3%,3%,2%,2%,3%,3%,2%,2%,4%,4%,4%,4%,4%,5%,5%,5%,5%,5%,5%,5%,6%,6%,3%,3%,3%,3%,3%,3%,3%,3%,3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2%,2%,2%,2%,2%,2%,3%,3%,3%,3%,3%,3%,3%,3%,2%,2%,2%,2%,2%,2%,2%,2%,2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23%,-11%,4%,-18%,56%,4%,17%,-20%,19%,0%,-34%,2%,-18%,13%,9%,13%,8%,17%,18%,11%,11%,10%,14%,-53%,8%,9%,-45%,5%,12%,10%,12%,7%,7%,6%,6%,,,,,,,,,,,,,,,,,,13%,9%,13%,8%,17%,18%,11%,11%,10%,14%,-55%,8%,9%,-45%,6%,12%,10%,12%,7%,7%,6%,6%,,,,,,,,,,,,,,,,,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,-2%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,45%,21%,12%,,,-5%,759%,8948,35794,,274105,229000,,350335,539960,,275107,325240,,56802,60252,80182,57784,14201,20084,26727,28892,41%,33%,8%,103%
NETRAA SERUM TOTAL,Pure Netraa,OTHERS,OTHERS,Mansi,Existing,Jan'24,Yes,15295,27660,29576,29359,33809,59584,35200,23876,31647,30866,45442,84806,,78206,90968,80877,9844,2804,3445,5908,7273,142660,53564,15661,33573,97964,29806,,15854,17903,19443,21954,23788,27882,32828,36318,40279,44204,50507,23920,25863,28198,30769,32461,36214,39836,44616,47739,51081,54145,57394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2278,2572,2793,3154,3417,4006,4716,5218,5787,6350,7256,3266,3531,3850,4201,4432,4944,5439,6091,6518,6974,7392,7836,2%,3%,3%,3%,4%,8%,4%,3%,4%,4%,5%,9%,0%,7%,10%,8%,1%,0%,0%,1%,1%,15%,4%,2%,3%,9%,3%,0%,4%,4%,4%,4%,4%,5%,5%,5%,5%,5%,5%,5%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2%,2%,2%,2%,2%,2%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16%,-11%,-88%,-72%,23%,71%,23%,1862%,-62%,-71%,114%,192%,-70%,,,13%,9%,13%,8%,17%,18%,11%,11%,10%,14%,-53%,8%,9%,9%,5%,12%,10%,12%,7%,7%,6%,6%,,,,,,,,,,,,,,,,,,13%,9%,13%,8%,17%,18%,11%,11%,10%,14%,-55%,8%,9%,9%,5%,12%,10%,12%,7%,7%,6%,6%,,,,,,,,,,,,,,,,,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,-2%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,-70%,113%,,-9%,-23%,-5%,543763,676696,,483377,357668,,330960,539960,,472236,650480,,184493,16626,211885,131537,46123,5542,70628,65768,-88%,1174%,-7%,43%
