Name,category_first,category_2nd,category_3rd,category_4th,category_5th,category_6th,first_purchased_short_code,second_purchased_short_code,third_purchased_short_code,fourth_purchased_short_code,fifth_purchased_short_code,sixth_purchased_short_code,first_purchased_sku,second_purchased_sku,third_purchased_sku,fourth_purchased_sku,fifth_purchased_sku,sixth_purchased_sku,first_order_date,second_order_date,third_order_date,fourth_order_date,fifth_order_date,sixth_order_date,days_between_1st_and_2nd,days_between_2nd_and_3rd,days_between_3rd_and_4th,days_between_4th_and_5th,days_between_5th_and_6th,city,Month-Year,Month Number ,Journey Depth,Is Repeat Buyer? 
34508,Face Malai,,,,,,Cocoa Mogra (Overnight) Face Malai - 30g,,,,,,FC-DM-NR-030,,,,,,"Nov 2, 2025",,,,,,,,,,,New Delhi,2025-11,11,1,0
34893,"Active Gel, Face Malai",,,,,,"Clove Tea-Tree (Anti-Acne) Face Malai, Active Neem TeaTree Gel",,,,,,"FC-DM-AA-030, FC-AC-NT-050",,,,,,"Mar 9, 2025",,,,,,,,,,,New Delhi,2025-03,3,1,0
35018,Face Malai,,,,,,Flax Carrot (Hot Humid) 35+ Face Malai - 50g,,,,,,FC-HHDM-FC-050,,,,,,"May 1, 2026",,,,,,,,,,,New Delhi,2026-05,5,1,0
35118,Active Gel,,,,,,Active Aloe Cactus Hydra Lift Gel,,,,,,FC-AC-AC-050,,,,,,"Mar 8, 2024",,,,,,,,,,,New Delhi,2024-03,3,1,0
35132,Aloe Vera Gel,,,,,,Aloe Vera Gel - 40 gms,,,,,,FC-HG-PA-040,,,,,,"Jun 10, 2024",,,,,,,,,,,New Delhi,2024-06,6,1,0
35258,Face Malai,,,,,,Turmeric Nutmeg (Pigmentation)  Face Malai - 50g,,,,,,FC-DM-PG-050,,,,,,"Dec 10, 2024",,,,,,,,,,,New Delhi,2024-12,12,1,0
35277,Aloe Vera Gel,,,,,,Aloe Vera Gel - 80 gms,,,,,,FC-HG-PA-080,,,,,,"Apr 10, 2025",,,,,,,,,,,Bengaluru,2025-04,4,1,0
35510,Aloe Vera Gel,,,,,,Aloe Vera Gel - 80 gms,,,,,,FC-HG-PA-080,,,,,,"Jun 13, 2026",,,,,,,,,,,New Delhi,2026-06,6,1,0
37170,Face Malai,,,,,,Honey Multi-Nut (Dry & Peeling Skin) Face Malai,,,,,,FC-DM-DP-030,,,,,,"Dec 29, 2024",,,,,,,,,,,New Delhi,2024-12,12,1,0
38176,Aloe Vera Gel,,,,,,Aloe Vera Gel - 40 gms,,,,,,FC-HG-PA-040,,,,,,"Nov 30, 2024",,,,,,,,,,,New Delhi,2024-11,11,1,0
38217,Active Gel,,,,,,Active Orange Kiwi Vit-C Gel,,,,,,FC-AC-OK-050,,,,,,"Nov 14, 2024",,,,,,,,,,,New Delhi,2024-11,11,1,0
39169,Face Malai,,,,,,Tomato Rosehip (Hot Dry) 20 - 35 Yrs Face Malai - 30g,,,,,,FC-HDDM-TR-030,,,,,,"Aug 26, 2025",,,,,,,,,,,New Delhi,2025-08,8,1,0
39271,Face Malai,,,,,,Flax Walnut (Cold) 35+ Face Malai,,,,,,FC-CWDM-FW-030,,,,,,"Nov 23, 2024",,,,,,,,,,,New Delhi,2024-11,11,1,0
39960,"Active Gel, Aloe Vera Gel",,,,,,"Aloe Vera Gel - 80 gms, Active Olive Vit-E Night Gel",,,,,,"FC-AC-OV-050, FC-HG-PA-080",,,,,,"Aug 4, 2025",,,,,,,,,,,New Delhi,2025-08,8,1,0
40148,Face Malai,,,,,,Tomato Patchouli (Cold) 20 - 35 Yrs Face Malai,,,,,,FC-CWDM-TP-030,,,,,,"Dec 8, 2024",,,,,,,,,,,Faizabad,2024-12,12,1,0
40865,Face Malai,,,,,,Tomato Patchouli (Cold) 20 - 35 Yrs Face Malai,,,,,,FC-CWDM-TP-030,,,,,,"Jan 2, 2025",,,,,,,,,,,New Delhi,2025-01,1,1,0
40930,Active Gel,,,,,,Active Orange Kiwi Vit-C Gel,,,,,,FC-AC-OK-050,,,,,,"Jun 12, 2024",,,,,,,,,,,New Delhi,2024-06,6,1,0
41008,Face Malai,,,,,,Flax Walnut (Cold) 35+ Face Malai,,,,,,FC-CWDM-FW-030,,,,,,"Dec 21, 2024",,,,,,,,,,,Gurgaon,2024-12,12,1,0
41050,Aloe Vera Gel,,,,,,Aloe Vera Gel - 80 gms,,,,,,FC-HG-PA-080,,,,,,"Jan 19, 2026",,,,,,,,,,,New Delhi,2026-01,1,1,0
41079,Aloe Vera Gel,,,,,,Aloe Vera Gel - 40 gms,,,,,,FC-HG-PA-040,,,,,,"Nov 21, 2024",,,,,,,,,,,New Delhi,2024-11,11,1,0
41468,Face Malai,Active Gel,Face Malai,Active Gel,Face Malai,Face Malai,GreenApple Tulsi (Hot Humid) 13 - 19 Yrs Face Malai,Active Aloe Cactus Hydra Lift Gel,Cocoa Mogra (Overnight) Face Malai - 30g,Active Aloe Cactus Hydra Lift Gel,GreenApple Tulsi (Hot Humid) 13 - 19 Yrs Face Malai,GreenApple Tulsi (Hot Humid) 13 - 19 Yrs Face Malai,FC-HHDM-GAT-030,FC-AC-AC-050,FC-DM-NR-030,FC-AC-AC-050,FC-HHDM-GAT-030,FC-HHDM-GAT-030,"Mar 4, 2024","Apr 12, 2024","May 10, 2024","Jun 7, 2024","Aug 21, 2024","Nov 5, 2024",39,28,28,75,76,Ghaziabad,2024-03,3,6,1
41564,Aloe Vera Gel,,,,,,Aloe Vera Gel - 80 gms,,,,,,FC-HG-PA-080,,,,,,"May 9, 2026",,,,,,,,,,,New Delhi,2026-05,5,1,0
42059,Active Gel,,,,,,Active Neem TeaTree Gel,,,,,,FC-AC-NT-050,,,,,,"May 31, 2024",,,,,,,,,,,Faridabad,2024-05,5,1,0
42680,Face Malai,,,,,,Cocoa Mogra (Overnight) Face Malai - 30g,,,,,,FC-DM-NR-030,,,,,,"May 19, 2024",,,,,,,,,,,Dehradun,2024-05,5,1,0
42806,Face Malai,Face Malai,,,,,Turmeric Nutmeg (Pigmentation)  Face Malai - 30g,"Cocoa Mogra (Overnight) Face Malai - 30g, Turmeric Nutmeg (Pigmentation)  Face Malai - 30g",,,,,FC-DM-PG-030,"FC-DM-PG-030, FC-DM-NR-030",,,,,"Jul 31, 2025","Aug 2, 2025",,,,,2,,,,,New Delhi,2025-07,7,2,1
42936,Face Malai,,,,,,Turmeric Nutmeg (Pigmentation)  Face Malai - 30g,,,,,,FC-DM-PG-030,,,,,,"Dec 26, 2024",,,,,,,,,,,Gurgaon,2024-12,12,1,0
43181,"Active Gel, Face Malai",,,,,,"Flax Bakuchi (Hot Dry) 35+ Face Malai - 30g, Active Aloe Cactus Hydra Lift Gel",,,,,,"FC-AC-AC-050, FC-HDDM-FB-030",,,,,,"Feb 29, 2024",,,,,,,,,,,Gurgaon,2024-02,2,1,0
43192,Face Malai,,,,,,Flax Walnut (Cold) 35+ Face Malai,,,,,,FC-CWDM-FW-030,,,,,,"Nov 2, 2024",,,,,,,,,,,Gurgaon,2024-11,11,1,0
43540,Face Malai,,,,,,Cocoa Mogra (Overnight) Face Malai - 30g,,,,,,FC-DM-NR-030,,,,,,"Jan 17, 2024",,,,,,,,,,,Gurgaon,2024-01,1,1,0
43611,Aloe Vera Gel,Aloe Vera Gel,,,,,Aloe Vera Gel - 40 gms,Aloe Vera Gel - 40 gms,,,,,FC-HG-PA-040,FC-HG-PA-040,,,,,"Apr 28, 2024","Nov 24, 2024",,,,,210,,,,,Gurgaon,2024-04,4,2,1
43946,Face Malai,,,,,,Flax Walnut (Cold) 35+ Face Malai,,,,,,FC-CWDM-FW-030,,,,,,"Jan 9, 2025",,,,,,,,,,,Gurgaon,2025-01,1,1,0
43986,Face Malai,,,,,,Flax Walnut (Cold) 35+ Face Malai,,,,,,FC-CWDM-FW-030,,,,,,"Jan 21, 2024",,,,,,,,,,,Gurgaon,2024-01,1,1,0
44054,Face Malai,Face Malai,Face Malai,,,,Flax Carrot (Hot Humid) 35+ Face Malai - 30g,Flax Walnut (Cold) 35+ Face Malai,Flax Bakuchi (Hot Dry) 35+ Face Malai - 30g,,,,FC-HHDM-FC-030,FC-CWDM-FW-030,FC-HDDM-FB-030,,,,"Mar 2, 2025","Jun 30, 2025","Mar 25, 2026",,,,120,268,,,,Gurgaon,2025-03,3,3,1
44067,Face Malai,,,,,,Tomato Rosehip (Hot Dry) 20 - 35 Yrs Face Malai - 30g,,,,,,FC-HDDM-TR-030,,,,,,"May 30, 2024",,,,,,,,,,,Shamli,2024-05,5,1,0
44331,Aloe Vera Gel,,,,,,Aloe Vera Gel - 40 gms,,,,,,FC-HG-PA-040,,,,,,"Jan 7, 2025",,,,,,,,,,,Pune,2025-01,1,1,0
44631,Face Malai,Aloe Vera Gel,Active Gel,,,,Tomato Patchouli (Cold) 20 - 35 Yrs Face Malai,Aloe Vera Gel - 80 gms,Active Neem TeaTree Gel,,,,FC-CWDM-TP-030,FC-HG-PA-080,FC-AC-NT-050,,,,"Nov 29, 2024","Apr 11, 2025","May 18, 2025",,,,133,37,,,,Gurgaon,2024-11,11,3,1
44834,Aloe Vera Gel,,,,,,Aloe Vera Gel - 40 gms,,,,,,FC-HG-PA-040,,,,,,"Aug 2, 2024",,,,,,,,,,,Gurgaon,2024-08,8,1,0
44859,Aloe Vera Gel,,,,,,Aloe Vera Gel - 40 gms,,,,,,FC-HG-PA-040,,,,,,"Jul 9, 2024",,,,,,,,,,,Bengaluru,2024-07,7,1,0
44983,Face Malai,,,,,,Cocoa Mogra (Overnight) Face Malai - 30g,,,,,,FC-DM-NR-030,,,,,,"May 12, 2026",,,,,,,,,,,Gurgaon,2026-05,5,1,0
45145,Aloe Vera Gel,,,,,,Aloe Vera Gel - 40 gms,,,,,,FC-HG-PA-040,,,,,,"Sep 25, 2024",,,,,,,,,,,Gurgaon,2024-09,9,1,0
45547,Face Malai,Face Malai,,,,,Flax Walnut (Cold) 35+ Face Malai,Flax Bakuchi (Hot Dry) 35+ Face Malai - 30g,,,,,FC-CWDM-FW-030,FC-HDDM-FB-030,,,,,"Jan 24, 2024","Feb 14, 2024",,,,,21,,,,,Gurgaon,2024-01,1,2,1
45891,Aloe Vera Gel,,,,,,Aloe Vera Gel - 40 gms,,,,,,FC-HG-PA-040,,,,,,"Nov 18, 2024",,,,,,,,,,,Nasik,2024-11,11,1,0
45904,Face Malai,,,,,,"Flax Carrot (Hot Humid) 35+ Face Malai - 30g, GreenApple Tulsi (Hot Humid) 13 - 19 Yrs Face Malai",,,,,,"FC-HHDM-GAT-030, FC-HHDM-FC-030",,,,,,"May 3, 2024",,,,,,,,,,,Gurgaon,2024-05,5,1,0
46096,Aloe Vera Gel,,,,,,Aloe Vera Gel - 40 gms,,,,,,FC-HG-PA-040,,,,,,"Apr 24, 2024",,,,,,,,,,,Gurgaon,2024-04,4,1,0
46650,Aloe Vera Gel,,,,,,Aloe Vera Gel - 80 gms,,,,,,FC-HG-PA-080,,,,,,"Aug 7, 2025",,,,,,,,,,,Chandigarh,2025-08,8,1,0
46720,Active Gel,,,,,,Active Orange Kiwi Vit-C Gel,,,,,,FC-AC-OK-050,,,,,,"Apr 30, 2025",,,,,,,,,,,Gurgaon,2025-04,4,1,0
48109,Aloe Vera Gel,Aloe Vera Gel,Aloe Vera Gel,Face Malai,Aloe Vera Gel,,Aloe Vera Gel - 40 gms,Aloe Vera Gel - 40 gms,Aloe Vera Gel - 40 gms,Tomato Patchouli (Cold) 20 - 35 Yrs Face Malai,Aloe Vera Gel - 80 gms,,FC-HG-PA-040,FC-HG-PA-040,FC-HG-PA-040,FC-CWDM-TP-030,FC-HG-PA-080,,"Sep 29, 2024","Oct 1, 2024","Oct 1, 2024","Nov 10, 2024","Sep 24, 2025",,2,0,40,318,,Agra,2024-09,9,5,1
48324,Face Malai,,,,,,Flax Walnut (Cold) 35+ Face Malai,,,,,,FC-CWDM-FW-030,,,,,,"Jan 3, 2025",,,,,,,,,,,Gurgaon,2025-01,1,1,0
48601,Aloe Vera Gel,Aloe Vera Gel,,,,,Aloe Vera Gel - 40 gms,Aloe Vera Gel - 80 gms,,,,,FC-HG-PA-040,FC-HG-PA-080,,,,,"Jan 14, 2025","Jan 12, 2026",,,,,363,,,,,Gurgaon,2025-01,1,2,1
48781,Face Malai,Face Malai,,,,,Tomato Vetiver (Hot Humid) 20 - 35 Yrs Face Malai,Tomato Vetiver (Hot Humid) 20 - 35 Yrs Face Malai,,,,,FC-HHDM-TV-030,FC-HHDM-TV-030,,,,,"Apr 30, 2025","May 15, 2025",,,,,15,,,,,Secunderabad,2025-04,4,2,1
48967,Face Malai,,,,,,Flax Carrot (Hot Humid) 35+ Face Malai - 30g,,,,,,FC-HHDM-FC-030,,,,,,"Sep 2, 2024",,,,,,,,,,,Gautam Buddha Nagar,2024-09,9,1,0
49294,Aloe Vera Gel,,,,,,Aloe Vera Gel - 80 gms,,,,,,FC-HG-PA-080,,,,,,"Jul 6, 2025",,,,,,,,,,,Gwalior,2025-07,7,1,0
49321,Face Malai,,,,,,Pomegranate Tulsi (Hot Dry) 13 - 19 Yrs Face Malai,,,,,,FC-HDDM-PT-030,,,,,,"Jun 13, 2025",,,,,,,,,,,Ghaziabad,2025-06,6,1,0
49388,Face Malai,,,,,,"Tomato Rosehip (Hot Dry) 20 - 35 Yrs Face Malai - 30g, Turmeric Nutmeg (Pigmentation)  Face Malai - 30g",,,,,,"FC-HDDM-TR-030, FC-DM-PG-030",,,,,,"Dec 26, 2024",,,,,,,,,,,Coimbatore,2024-12,12,1,0
49389,Face Malai,,,,,,GreenApple Tulsi (Hot Humid) 13 - 19 Yrs Face Malai,,,,,,FC-HHDM-GAT-030,,,,,,"Feb 28, 2024",,,,,,,,,,,Ghaziabad,2024-02,2,1,0
49407,Face Malai,,,,,,"Honey Multi-Nut (Dry & Peeling Skin) Face Malai, Flax Carrot (Hot Humid) 35+ Face Malai - 30g",,,,,,"FC-DM-DP-030, FC-HHDM-FC-030",,,,,,"Jun 15, 2025",,,,,,,,,,,New Delhi,2025-06,6,1,0
49419,Active Gel,,,,,,Active Orange Kiwi Vit-C Gel,,,,,,FC-AC-OK-050,,,,,,"Jul 29, 2024",,,,,,,,,,,Pali,2024-07,7,1,0
49466,Aloe Vera Gel,,,,,,Aloe Vera Gel - 40 gms,,,,,,FC-HG-PA-040,,,,,,"May 20, 2024",,,,,,,,,,,Bijnor,2024-05,5,1,0
49492,Face Malai,,,,,,Turmeric Nutmeg (Pigmentation)  Face Malai - 30g,,,,,,FC-DM-PG-030,,,,,,"Jan 8, 2025",,,,,,,,,,,Gautam Buddha Nagar,2025-01,1,1,0
49555,Face Malai,Face Malai,,,,,Cocoa Mogra (Overnight) Face Malai - 30g,Tomato Rosehip (Hot Dry) 20 - 35 Yrs Face Malai - 50g,,,,,FC-DM-NR-030,FC-HDDM-TR-050,,,,,"Nov 10, 2025","Dec 8, 2025",,,,,28,,,,,Ghaziabad,2025-11,11,2,1
49767,Face Malai,,,,,,Flax Bakuchi (Hot Dry) 35+ Face Malai - 30g,,,,,,FC-HDDM-FB-030,,,,,,"Apr 2, 2025",,,,,,,,,,,Gautam Buddha Nagar,2025-04,4,1,0
49839,Face Malai,,,,,,Tomato Patchouli (Cold) 20 - 35 Yrs Face Malai,,,,,,FC-CWDM-TP-030,,,,,,"Dec 5, 2024",,,,,,,,,,,New Delhi,2024-12,12,1,0
49978,Face Malai,,,,,,Flax Carrot (Hot Humid) 35+ Face Malai - 30g,,,,,,FC-HHDM-FC-030,,,,,,"Jan 25, 2025",,,,,,,,,,,Thane,2025-01,1,1,0
50327,Face Malai,Aloe Vera Gel,,,,,Turmeric Nutmeg (Pigmentation)  Face Malai - 30g,Aloe Vera Gel - 40 gms,,,,,FC-DM-PG-030,FC-HG-PA-040,,,,,"Jan 14, 2024","Jun 26, 2024",,,,,164,,,,,Gautam Buddha Nagar,2024-01,1,2,1
50765,Face Malai,,,,,,Cocoa Mogra (Overnight) Face Malai - 50g,,,,,,FC-DM-NR-050,,,,,,"Nov 3, 2025",,,,,,,,,,,Varanasi,2025-11,11,1,0
50816,"Aloe Vera Gel, Face Malai",,,,,,"Aloe Vera Gel - 40 gms, Turmeric Nutmeg (Pigmentation)  Face Malai - 30g",,,,,,"FC-HG-PA-040, FC-DM-PG-030",,,,,,"Oct 31, 2024",,,,,,,,,,,Rohtak,2024-10,10,1,0
50883,Aloe Vera Gel,,,,,,Aloe Vera Gel - 40 gms,,,,,,FC-HG-PA-040,,,,,,"Jan 19, 2024",,,,,,,,,,,Gautam Buddha Nagar,2024-01,1,1,0
50964,Face Malai,Face Malai,,,,,Tomato Patchouli (Cold) 20 - 35 Yrs Face Malai,Tomato Patchouli (Cold) 20 - 35 Yrs Face Malai,,,,,FC-CWDM-TP-030,FC-CWDM-TP-030,,,,,"Jan 5, 2026","Mar 24, 2026",,,,,78,,,,,Meerut,2026-01,1,2,1
54072,Active Gel,,,,,,Active Orange Kiwi Vit-C Gel,,,,,,FC-AC-OK-050,,,,,,"Dec 29, 2025",,,,,,,,,,,New Delhi,2025-12,12,1,0
54249,Face Malai,,,,,,Tomato Vetiver (Hot Humid) 20 - 35 Yrs Face Malai,,,,,,FC-HHDM-TV-030,,,,,,"Apr 22, 2024",,,,,,,,,,,Gurgaon,2024-04,4,1,0
58045,Face Malai,,,,,,Turmeric Nutmeg (Pigmentation)  Face Malai - 30g,,,,,,FC-DM-PG-030,,,,,,"Feb 17, 2025",,,,,,,,,,,Gurgaon,2025-02,2,1,0
59291,Face Malai,,,,,,Turmeric Nutmeg (Pigmentation)  Face Malai - 50g,,,,,,FC-DM-PG-050,,,,,,"Jul 6, 2025",,,,,,,,,,,Ghaziabad,2025-07,7,1,0
61321,Active Gel,,,,,,Active Olive Vit-E Night Gel,,,,,,FC-AC-OV-050,,,,,,"Feb 3, 2024",,,,,,,,,,,Faridabad,2024-02,2,1,0
63129,Aloe Vera Gel,,,,,,Aloe Vera Gel - 40 gms,,,,,,FC-HG-PA-040,,,,,,"Jun 20, 2024",,,,,,,,,,,Gautam Buddha Nagar,2024-06,6,1,0
63989,Aloe Vera Gel,,,,,,Aloe Vera Gel - 80 gms,,,,,,FC-HG-PA-080,,,,,,"Oct 27, 2025",,,,,,,,,,,Ghaziabad,2025-10,10,1,0
65629,Aloe Vera Gel,,,,,,Aloe Vera Gel - 40 gms,,,,,,FC-HG-PA-040,,,,,,"Jul 4, 2024",,,,,,,,,,,Faizabad,2024-07,7,1,0
67049,Aloe Vera Gel,,,,,,Aloe Vera Gel - 40 gms,,,,,,FC-HG-PA-040,,,,,,"Jul 28, 2024",,,,,,,,,,,Faridabad,2024-07,7,1,0
72189,Face Malai,Face Malai,Face Malai,Face Malai,Face Malai,,Flax Walnut (Cold) 35+ Face Malai,Turmeric Nutmeg (Pigmentation)  Face Malai - 30g,Turmeric Nutmeg (Pigmentation)  Face Malai - 50g,Honey Multi-Nut (Dry & Peeling Skin) Face Malai,Honey Multi-Nut (Dry & Peeling Skin) Face Malai,,FC-CWDM-FW-030,FC-DM-PG-030,FC-DM-PG-050,FC-DM-DP-030,FC-DM-DP-030,,"Dec 1, 2024","May 18, 2025","Aug 19, 2025","Dec 8, 2025","Feb 9, 2026",,168,93,111,63,,New Delhi,2024-12,12,5,1
73980,Face Malai,,,,,,Flax Walnut (Cold) 35+ Face Malai,,,,,,FC-CWDM-FW-030,,,,,,"Feb 10, 2024",,,,,,,,,,,NA,2024-02,2,1,0
75723,Face Malai,,,,,,Tomato Patchouli (Cold) 20 - 35 Yrs Face Malai,,,,,,FC-CWDM-TP-030,,,,,,"Nov 18, 2024",,,,,,,,,,,Gurgaon,2024-11,11,1,0
