order_date,sku,order_source,short_code,product_category,orders,customers,qty,rev
"Jul 25, 2026",HR-NJ-MJ-200,Amazon,Methi Jal - 200ml,Nourishing Jal,8,8,8,2562
"Jul 25, 2026",HR-NJ-MJ-200,Flipkart,Methi Jal - 200ml,Nourishing Jal,1,1,1,224
"Jul 25, 2026",FC-FW-BNGL-100,Nykaa,Bitter Neem Tikta Gel Face Wash,Tikta,23,23,26,5978.39
"Jul 25, 2026",FC-FL-MO-100,D2C,Pure Mogra Jal - Single Pack,Flora Jal,15,15,19,3004.18
"Jul 25, 2026",HR-HO-MR-100,Nykaa,Men's Revital Winter Hair Oil - 100 ml,Winter Hair Oil,2,2,2,519.4
"Jul 25, 2026",FC-KL-CN-040,First Cry,Chandan Nagakesar Lepa - Pack of 1,Lepa,1,1,1,143
"Jul 25, 2026",FC-KL-GK-040,Flipkart,Gulab Khus Lepa - Pack of 1,Lepa,1,1,1,151
"Jul 25, 2026",HR-SH-HB-250,Cred,Five Oil Hibiscus Shampoo - 250g,Navdha Shampoo,3,3,3,839.52
"Jul 25, 2026",BC-SM-RFR-200,D2C,Fig Rose Skin Malai - 200ml - Single Pack,Malai,2,2,4,866.5
"Jul 25, 2026",FC-DM-NR-030,Myntra,Cocoa Mogra (Overnight) Face Malai - 30g,Face Malai,2,2,2,501
"Jul 25, 2026",FC-FL-GU-100,Myntra,Pure Gulab Jal - Single Pack,Flora Jal,5,5,7,1301
"Jul 25, 2026",HR-SH-HB-650,Nykaa,Hibiscus Shampoo - 650 ml,Navdha Shampoo,15,15,15,10592.68
"Jul 25, 2026",FC-DM-AA-030,Myntra,Clove Tea-Tree (Anti-Acne) Face Malai,Face Malai,1,1,1,332
"Jul 25, 2026",BC-CP-VC-100,First Cry,Virgin Coconut Oil - 100 ml,CP Hair Oil,1,1,1,197.78
"Jul 25, 2026",BC-SM-CID-200,Nykaa,Double Cocoa Skin Malai - 200ml - Single Pack,Malai,7,7,14,2996.93
"Jul 25, 2026",AC-SDL-LO-00,Myntra,Loofah - Single Pack,Loofah,5,5,13,1353
"Jul 25, 2026",BC-EO-TT-015,D2C,Tea Tree Essential Oil - 15ml,Essential Oil,3,3,3,1128.67
"Jul 25, 2026",BC-BL-RFR-250,Flipkart,Fig Rose Malai Lotion,Malai Lotion,3,3,4,1278
"Jul 25, 2026",HR-SH-TR-250,D2C,Trileaf Rosemary Shampoo - 250g,Navdha Shampoo,118,116,131,37714.5
"Jul 25, 2026",HR-NJ-MJ-200,First Cry,Methi Jal - 200ml,Nourishing Jal,1,1,1,200
"Jul 25, 2026",BA-FM-MNO-075,Flipkart,Baby Face Malai Multi-Nut Oats Vit-E,Baby Face Malai,1,1,1,227
"Jul 25, 2026",FC-FW-MVGL-100,Myntra,Moringa Vit-C Tikta Gel Face Wash,Tikta,1,1,1,193
"Jul 25, 2026",BC-HM-LMG-030,D2C,Lemon Moringa Hand Malai - Single Pack,Hand Malai,2,2,3,585
"Jul 25, 2026",FC-CM-CEM-030,Flipkart,Classical Eladi Mukhalaya 30 ml,Facial Oil,1,1,1,435
"Jul 25, 2026",FC-FW-BUPA-100,Flipkart Fulfilled,Ubtan Tikta Face Wash,Tikta,2,2,2,327.51
"Jul 25, 2026",HR-HE-RA-250,D2C,Henna Paste - Pack of 1,Henna,473,468,1049,172032.49
"Jul 25, 2026",BA-BML-TC-200,Nykaa,Baby Malai Lotion Tender Coconut,Baby Malai Lotion,14,14,14,4588.53
"Jul 25, 2026",FC-AC-OK-050,D2C,Active Orange Kiwi Vit-C Gel,Active Gel,33,33,36,10294.78
"Jul 25, 2026",AC-KNC-WTSL-00,Meesho,Neem Comb - Shampoo Large,Comb,1,1,1,178
"Jul 25, 2026",FC-DM-AA-030,D2C,Clove Tea-Tree (Anti-Acne) Face Malai,Face Malai,20,20,21,5578.2
"Jul 25, 2026",FC-CWDM-FW-030,Amazon,Flax Walnut (Cold) 35+ Face Malai,Face Malai,5,5,5,1695.75
"Jul 25, 2026",FC-FW-BNGL-100,Myntra,Bitter Neem Tikta Gel Face Wash,Tikta,4,4,4,1039
"Jul 25, 2026",FC-CM-CKM-015,D2C,Classical Kumkumadi Mukhalaya 15 ml,Facial Oil,4,4,4,6207.06
"Jul 25, 2026",FK-HR-SH-TR-100,Flipkart,Trileaf Rosemary Shampoo 100ml - Flipkart,Navdha Shampoo,19,19,19,2476.5
"Jul 25, 2026",BA-WMA-BS-100,Amazon,Winter Baby Maahu (Balamool Sunthi) - 100 ml,Baby Maahu,1,1,1,347.55
"Jul 25, 2026",HR-NM-TL-040,Jio Mart,Crushed Tri-Leaf NutriMask - Single Pack,Nutrimask,1,1,2,170
"Jul 25, 2026",BC-CPS-SS-125,Myntra,Sandalwood Soap - Single Pack,Soap,3,3,3,546.5
"Jul 25, 2026",HR-NJ-RJ-200,Amazon,Rosemary Jal - 200ml,Nourishing Jal,8,8,8,2562
"Jul 25, 2026",BC-SM-CID-200,First Cry,Double Cocoa Skin Malai - 200ml - Single Pack,Malai,1,1,2,339.5
"Jul 25, 2026",BC-CPS-NB-125,Meesho,Neem Basil Soap - Single Pack,Soap,1,1,1,204
"Jul 25, 2026",FK-FW-BUPA-150,Flipkart,Ubtan Face Wash - 150g,Tikta,69,68,109,18489.25
"Jul 25, 2026",FC-HDDM-PT-030,Nykaa,Pomegranate Tulsi (Hot Dry) 13 - 19 Yrs Face Malai,Face Malai,1,1,1,270
"Jul 25, 2026",HR-SHO-NB-100,Flipkart,Neem Bhringraj Summer Hair Oil - 100 ml,Summer Hair Oil,1,1,1,225
"Jul 25, 2026",AC-KNC-DNT-02,Myntra,Neem Comb Combo Dual + Fine,Comb,1,1,1,386
"Jul 25, 2026",BA-WHO-BM-110,Flipkart,Brahmi Winter Baby Scalp Oil - 110 ml,Baby Scalp Oil,1,1,1,272
"Jul 25, 2026",HR-SHO-MR-200,D2C,Men's Revital Summer Hair Oil - 200 ml,Summer Hair Oil,5,5,14,3002
"Jul 25, 2026",FC-DM-PG-030,Cred,Turmeric Nutmeg (Pigmentation)  Face Malai - 30g,Face Malai,2,2,2,373.5
"Jul 25, 2026",FC-FW-PBCR-100,Nykaa,Bitter Milk Tikta Cream Face Wash,Tikta,5,5,6,1304.15
"Jul 25, 2026",BC-HM-CBB-030,Amazon,Chia Banana Biotin Hand Malai - Single Pack,Hand Malai,2,2,2,413.7
"Jul 25, 2026",HR-CN-CC-060,Cred,Curry Cider Conditioner 60ml,Nutri Conditioner,2,2,2,253.08
"Jul 25, 2026",BC-BL-CID-250,Myntra,Double Cocoa Malai Lotion,Malai Lotion,1,1,1,317
"Jul 25, 2026",FC-FW-BUPA-100,D2C,Ubtan Tikta Face Wash,Tikta,150,149,187,41048.27
"Jul 25, 2026",FC-FW-MDPA-100,Meesho,Masoor Dal Tikta Face Wash,Tikta,21,21,22,5570
"Jul 25, 2026",BA-SMA-BN-200,Cred,Summer Baby Maahu (Balamool Nimbuka) - 200 ml,Baby Maahu,1,1,2,399
"Jul 25, 2026",HR-CN-CB-150,Myntra,Castor Black Seed Conditioner - 150g,Nutri Conditioner,2,2,2,568.06
"Jul 25, 2026",BC-CPS-NB-125,First Cry,Neem Basil Soap - Single Pack,Soap,2,2,3,325.5
"Jul 25, 2026",FC-HHDM-FC-030,D2C,Flax Carrot (Hot Humid) 35+ Face Malai - 30g,Face Malai,7,7,7,1901.24
"Jul 25, 2026",FC-HG-OK-080,D2C,Orange Kiwi Vit-C Gel - 80 gms,Gel Pack,5,5,5,794.84
"Jul 25, 2026",LP-LM-BR-020,Myntra,Beetroot Rose Lip Mura - Regular,Lip Mura,1,1,2,336
"Jul 25, 2026",FC-AC-AC-050,Nykaa,Active Aloe Cactus Hydra Lift Gel,Active Gel,2,2,2,682.1
"Jul 25, 2026",HR-CN-HB-150,Myntra,Five Oil Hibiscus Conditioner - 150g,Nutri Conditioner,2,2,2,492
"Jul 25, 2026",HR-NM-CS-040,Flipkart,Curry Sesame NutriMask - Single Pack,Nutrimask,3,3,3,222
"Jul 25, 2026",HR-HIP-IP-85,Cred,HUFA Pigment Indigo Powder - 85g,Indigo Powder,31,28,39,3532.92
"Jul 25, 2026",BC-HM-MCY-030,D2C,Mango Cinnamon Hand Malai  - Single Pack,Hand Malai,1,1,1,209
"Jul 25, 2026",FC-CM-CKM-015,Nykaa,Classical Kumkumadi Mukhalaya 15 ml,Facial Oil,5,5,5,7925.72
"Jul 25, 2026",FC-HDDM-PT-050,Myntra,Pomegranate Tulsi (Hot Dry) 13 - 19 Yrs Face Malai - 50g,Face Malai,1,1,1,375
"Jul 25, 2026",FC-CM-CEM-030,Nykaa,Classical Eladi Mukhalaya 30 ml,Facial Oil,2,2,2,968.79
"Jul 25, 2026",FC-DM-NR-030,Nykaa,Cocoa Mogra (Overnight) Face Malai - 30g,Face Malai,7,7,7,1882.42
"Jul 25, 2026",HR-HB-AM-025,Nykaa,Almond Marula Hair Balm,Hair Balm,72,72,73,16443.56
"Jul 25, 2026",BC-BL-RFR-250,Nykaa,Fig Rose Malai Lotion,Malai Lotion,6,6,9,2709.55
"Jul 25, 2026",BA-BM-TC-120,First Cry,Baby Malai Tender Coconut,Baby Body Malai,1,1,1,394.4
"Jul 25, 2026",BC-EO-RM-030,D2C,Rosemary Essential Oil - 30 ml,Essential Oil,2,2,2,1097
"Jul 25, 2026",FC-FW-BUPA-100,Nykaa,Ubtan Tikta Face Wash,Tikta,158,157,171,39966.76
"Jul 25, 2026",FC-DM-DP-030,Nykaa,Honey Multi-Nut (Dry & Peeling Skin) Face Malai,Face Malai,3,3,3,763.8
"Jul 25, 2026",HR-SHO-TL-100,D2C,Crushed Tri-Leaf Summer Hair Oil - 100 ml,Summer Hair Oil,45,45,49,12178.89
"Jul 25, 2026",HR-NM-NB-040,Amazon,Neem & Bhringraj NutriMask - Single Pack,Nutrimask,3,3,7,779.13
"Jul 25, 2026",FC-ML-STR-030,D2C,Saffron Tuberose Mukhalaya 30 ml,Facial Oil,9,8,18,3426
"Jul 25, 2026",FC-ML-CMG-015,D2C,Clove Marigold Mukhalaya 15 ml,Facial Oil,4,4,4,845
"Jul 25, 2026",HR-SHO-HA-100,Myntra,Hibiscus Amla Summer Hair Oil - 100 ml,Summer Hair Oil,4,4,4,1153
"Jul 25, 2026",FC-FW-BUPA-100,Meesho,Ubtan Tikta Face Wash,Tikta,1479,1274,2290,383212
"Jul 25, 2026",FC-ML-PMJ-030,D2C,Patchouli Manjistha Mukhalaya 30 ml,Facial Oil,10,10,22,4034.14
"Jul 25, 2026",HR-AHO-CC-100,D2C,Castor Coconut All Season Hair Oil - 100 ml,All Season Hair Oil,11,10,12,2951.21
"Jul 25, 2026",LP-LB-BC-010,D2C,Beetroot Crush Lip Butter,Lip Butter,37,37,39,8420.91
"Jul 25, 2026",FC-FW-RCGL-100,Nykaa,Roasted Chicory Tikta Gel Face Wash,Tikta,1,1,1,197.42
"Jul 25, 2026",FC-DM-NR-030,Amazon,Cocoa Mogra (Overnight) Face Malai - 30g,Face Malai,9,9,9,3014.55
"Jul 25, 2026",FC-FW-BNGL-100,Pop Club,Bitter Neem Tikta Gel Face Wash,Tikta,1,1,1,239
"Jul 25, 2026",LP-LB-OM-010,D2C,Orange Marigold Lip Butter,Lip Butter,7,7,9,2028.85
"Jul 25, 2026",BA-BML-AD-200,D2C,Baby Malai Lotion Almond & Dates,Baby Malai Lotion,4,4,4,1393.45
"Jul 25, 2026",HR-AHO-OA-200,Nykaa,Olive Almond Vit-E All Season Hair Oil - 200 ml,All Season Hair Oil,4,4,4,1602.75
"Jul 25, 2026",BA-PBO-OL-100,Nykaa,Pure Olive Baby Oil - 100 ml,Pure Baby Oil,4,4,4,830.62
"Jul 25, 2026",BA-SHO-BM-110,Amazon,Brahmi Summer Baby Scalp Oil - 110 ml,Baby Scalp Oil,22,22,23,7985.48
"Jul 25, 2026",BA-BP-SC-150,First Cry,Shwet Chandan Baby Powder,Baby Powder,10,10,10,1860.97
"Jul 25, 2026",HR-NM-NB-040,Flipkart,Neem & Bhringraj NutriMask - Single Pack,Nutrimask,1,1,2,163.5
"Jul 25, 2026",LP-LB-BC-010,Myntra,Beetroot Crush Lip Butter,Lip Butter,3,3,3,698
"Jul 25, 2026",FC-FL-GU-100,First Cry,Pure Gulab Jal - Single Pack,Flora Jal,3,3,3,472.14
"Jul 25, 2026",LP-LB-KH-010,D2C,Kokum Honey Lip Butter,Lip Butter,1,1,1,156
"Jul 25, 2026",AC-KNC-WT-00,Meesho,Neem Comb - Wide Tooth,Comb,13,13,14,2380
"Jul 25, 2026",HR-AHO-CC-100,Pop Club,Castor Coconut All Season Hair Oil - 100 ml,All Season Hair Oil,1,1,1,359
"Jul 25, 2026",BC-CP-RH-030,D2C,Rosehip Oil - 30 ml,CP Face Oil,6,6,6,2331.65
"Jul 25, 2026",BC-MA-GM-100,Nykaa,Ginger Maricha Maahu - 100 ml,Maahu,1,1,1,292
"Jul 25, 2026",LP-LB-BC-010,Amazon,Beetroot Crush Lip Butter,Lip Butter,1,1,2,527.1
"Jul 25, 2026",HR-AHO-OA-200,D2C,Olive Almond Vit-E All Season Hair Oil - 200 ml,All Season Hair Oil,4,4,4,1667
"Jul 25, 2026",FC-HP-MM-200,Flipkart,Multani Mitti Herbal Powder - 200g,Herbal Powder,1,1,1,236
"Jul 25, 2026",FC-HG-NT-080,D2C,Neem TeaTree Anti-Acne Gel - 80 gms,Gel Pack,5,5,5,953.9
"Jul 25, 2026",FC-ML-STR-015,D2C,Saffron Tuberose Mukhalaya 15 ml,Facial Oil,8,8,8,2394.34
"Jul 25, 2026",BA-FM-MNO-075,First Cry,Baby Face Malai Multi-Nut Oats Vit-E,Baby Face Malai,8,8,8,2085.28
"Jul 25, 2026",AC-KNC-WTSL-00,Myntra,Neem Comb - Shampoo Large,Comb,1,1,1,180
"Jul 25, 2026",FC-DM-NR-030,D2C,Cocoa Mogra (Overnight) Face Malai - 30g,Face Malai,7,7,7,2257.45
"Jul 25, 2026",AC-KNC-FTSS-00,Nykaa,Neem Comb - Styling Small,Comb,6,6,6,790.3
"Jul 25, 2026",HR-NM-TL-040,Amazon,Crushed Tri-Leaf NutriMask - Single Pack,Nutrimask,16,16,28,2902.55
"Jul 25, 2026",BC-SM-MNS-200,Nykaa,Multi-Nut Skin Malai - 200ml - Single Pack,Malai,9,9,18,3680.89
"Jul 25, 2026",FC-KL-OK-040,Nykaa,Orange Kalonji Lepa - Pack of 1,Lepa,8,8,10,2060.25
"Jul 25, 2026",BC-CPS-MR-125,Flipkart,Milk Rosehip Soap - Single Pack,Soap,1,1,1,133.5
"Jul 25, 2026",FC-AC-NT-050,First Cry,Active Neem TeaTree Gel,Active Gel,2,2,2,459
"Jul 25, 2026",BC-UU-RP-040,Nykaa,Raw Potato UnderArm Ubtan - Single Pack,UnderArm Ubtan,2,2,2,221.46
"Jul 25, 2026",HR-SH-CC-250,Myntra,Curry Cider Shampoo - 250g,Navdha Shampoo,2,2,2,555
"Jul 25, 2026",BC-MA-TA-100,D2C,Tulsi Ashwagandha Maahu - 100 ml,Maahu,1,1,1,299
"Jul 25, 2026",FC-ML-STR-015,Nykaa,Saffron Tuberose Mukhalaya 15 ml,Facial Oil,4,4,4,1216.6
"Jul 25, 2026",HR-NJ-MJ-200,Nykaa,Methi Jal - 200ml,Nourishing Jal,12,12,12,3618.5
"Jul 25, 2026",HR-NJ-HJ-200,Cred,Hibiscus Jal - 200ml,Nourishing Jal,10,10,10,1290
"Jul 25, 2026",FC-FL-LA-100,Cred,Pure Lavender Jal - Single Pack,Flora Jal,2,2,2,306
"Jul 25, 2026",FC-AC-OV-050,Cred,Active Olive Vit-E Night Gel,Active Gel,1,1,1,339
"Jul 25, 2026",AC-KNC-DNT-02,Flipkart,Neem Comb Combo Dual + Fine,Comb,1,1,1,279.5
"Jul 25, 2026",LP-LB-BC-010,Nykaa,Beetroot Crush Lip Butter,Lip Butter,44,44,45,10155.49
"Jul 25, 2026",AC-KNC-FTSS-00,D2C,Neem Comb - Styling Small,Comb,1,1,1,163.95
"Jul 25, 2026",HR-NM-SM-040,D2C,Shea Mustard NutriMask - Single Pack,Nutrimask,20,20,51,5062.07
"Jul 25, 2026",FC-KL-OK-040,Cred,Orange Kalonji Lepa - Pack of 1,Lepa,28,26,28,2093
"Jul 25, 2026",FC-KL-OK-040,Flipkart,Orange Kalonji Lepa - Pack of 1,Lepa,1,1,1,153
"Jul 25, 2026",FC-ML-STR-030,Nykaa,Saffron Tuberose Mukhalaya 30 ml,Facial Oil,5,5,10,2032.15
"Jul 25, 2026",FC-KL-TK-040,Nykaa,Tamarind Kasturi Lepa - Pack of 1,Lepa,18,17,20,3973.17
"Jul 25, 2026",HR-SH-HB-650,Myntra,Hibiscus Shampoo - 650 ml,Navdha Shampoo,1,1,1,858
"Jul 25, 2026",FC-ML-TRH-015,D2C,Turmeric Rosehip Mukhalaya 15 ml,Facial Oil,11,11,12,3106
"Jul 25, 2026",BA-BP-SC-150,D2C,Shwet Chandan Baby Powder,Baby Powder,7,7,7,1194.83
"Jul 25, 2026",BA-PBO-VCO-200,Flipkart,Pure Virgin Coconut Baby Oil - 200 ml,Pure Baby Oil,2,2,4,746.92
"Jul 25, 2026",AC-KNC-DT-00,Myntra,Neem Comb - Dual Tooth,Comb,1,1,1,175
"Jul 25, 2026",BC-CPS-WA-125,Tata Cliq,Apricot Soap - Single Pack,Soap,1,1,1,263
"Jul 25, 2026",BA-PBO-VCO-200,Nykaa,Pure Virgin Coconut Baby Oil - 200 ml,Pure Baby Oil,25,25,68,12753.35
"Jul 25, 2026",FC-HHDM-TV-030,Flipkart,Tomato Vetiver (Hot Humid) 20 - 35 Yrs Face Malai,Face Malai,1,1,1,232.2
"Jul 25, 2026",FC-DM-PG-050,D2C,Turmeric Nutmeg (Pigmentation)  Face Malai - 50g ,Face Malai,15,15,32,5515.35
"Jul 25, 2026",BA-SHO-BM-110,Nykaa,Brahmi Summer Baby Scalp Oil - 110 ml,Baby Scalp Oil,17,17,17,4933.16
"Jul 25, 2026",AC-KNC-FTSL-00,D2C,Neem Comb - Styling Large,Comb,1,1,1,117.5
"Jul 25, 2026",FC-HDDM-PT-030,D2C,Pomegranate Tulsi (Hot Dry) 13 - 19 Yrs Face Malai,Face Malai,1,1,1,322
"Jul 25, 2026",HR-SHO-CS-100,D2C,Curry Sesame Summer Hair Oil - 100 ml,Summer Hair Oil,21,21,21,5788.69
"Jul 25, 2026",HR-HE-RA-250,Myntra,Henna Paste - Pack of 1,Henna,38,38,79,12783.34
"Jul 25, 2026",FT-FS-LU-050,Cred,Lavender Unwind Foot Salt - Single Pack,Foot Salt,100,89,200,9859.83
"Jul 25, 2026",BA-BU-CMA-080,D2C,Charoli Milk Almond Baby Ubtan - 80g,Baby Ubtan,3,3,4,857.12
"Jul 25, 2026",HR-PHO-SB-050,Nykaa,Post-Henna Stain Boost Oil ,Post-Henna Oil,31,31,34,4748.75
"Jul 25, 2026",BA-SMA-BN-200,Amazon,Summer Baby Maahu (Balamool Nimbuka) - 200 ml,Baby Maahu,3,3,6,1880.55
"Jul 25, 2026",FC-CM-CEM-030,D2C,Classical Eladi Mukhalaya 30 ml,Facial Oil,4,4,4,2027.77
"Jul 25, 2026",LP-LB-BC-010,Flipkart,Beetroot Crush Lip Butter,Lip Butter,2,2,2,395.5
"Jul 25, 2026",BC-CPS-NLHL-125,Myntra,Lavender Soap - Single Pack,Soap,4,4,10,1002
"Jul 25, 2026",HR-HB-AM-025,D2C,Almond Marula Hair Balm,Hair Balm,11,11,13,3409.12
"Jul 25, 2026",FC-DU-SO-040,Nykaa,Sweet Orange Ubtan - Single Pack,Ubtan,14,14,28,3172.84
"Jul 25, 2026",BC-CP-AR-030,D2C,Argan Oil - 30 ml,CP Hair Oil,9,9,10,3858.83
"Jul 25, 2026",HR-CN-TR-150,D2C,Trileaf Rosemary Conditioner - 150g,Nutri Conditioner,75,75,83,19628.01
"Jul 25, 2026",BC-SM-CID-120,Cred,Double Cocoa Skin Malai - 120 ml - Single Pack,Malai,1,1,1,309
"Jul 25, 2026",BC-CPS-NLHL-125,Meesho,Lavender Soap - Single Pack,Soap,10,10,11,946
"Jul 25, 2026",HR-CN-CB-150,Nykaa,Castor Black Seed Conditioner - 150g,Nutri Conditioner,2,2,2,482.62
"Jul 25, 2026",FC-CM-CNM-030,D2C,Classical Nalpamaradi Mukhalaya 30 ml,Facial Oil,1,1,1,403.8
"Jul 25, 2026",BA-BM-AD-120,Nykaa,Baby Malai Almond & Date,Baby Body Malai,2,2,2,795.04
"Jul 25, 2026",FC-DM-PG-030,Nykaa,Turmeric Nutmeg (Pigmentation)  Face Malai - 30g,Face Malai,13,13,13,3569.79
"Jul 25, 2026",HR-SH-CB-250,Amazon,Castor Blackseed Shampoo - 250g,Navdha Shampoo,3,3,6,2009.7
"Jul 25, 2026",BC-CPS-NLHL-125,Flipkart Fulfilled,Lavender Soap - Single Pack,Soap,1,1,2,144
"Jul 25, 2026",BC-HM-BVE-030,Myntra,Berry Vanilla Hand Malai - Single Pack,Hand Malai,1,1,2,302
"Jul 25, 2026",HR-CN-TR-150,Cred,Trileaf Rosemary Conditioner - 150g,Nutri Conditioner,5,5,5,890
"Jul 25, 2026",BC-CP-AL-100,Nykaa,Almond Oil - 100 ml,CP Hair Oil,1,1,2,556.7
"Jul 25, 2026",HR-SH-HB-250,First Cry,Five Oil Hibiscus Shampoo - 250g,Navdha Shampoo,4,4,6,1237.72
"Jul 25, 2026",BA-PBO-AL-100,Nykaa,Pure Almond Baby Oil - 100 ml,Pure Baby Oil,4,4,4,1714.19
"Jul 25, 2026",HR-CN-TR-150,Meesho,Trileaf Rosemary Conditioner - 150g,Nutri Conditioner,1,1,1,357.57
"Jul 25, 2026",HR-SH-TR-250,Myntra,Trileaf Rosemary Shampoo - 250g,Navdha Shampoo,3,3,3,1006
"Jul 25, 2026",BA-BML-TC-200,Amazon,Baby Malai Lotion Tender Coconut,Baby Malai Lotion,6,6,6,2299.5
"Jul 25, 2026",LP-LM-BR-012,First Cry,Beetroot Rose Lip Mura - Beginner,Lip Mura,1,1,1,151.5
"Jul 25, 2026",BC-CP-JO-030,Myntra,Jojoba Oil - 30 ml,CP Face Oil,2,2,2,502
"Jul 25, 2026",AC-KNC-DWT-02,Flipkart,Neem Comb Combo Dual + Wide,Comb,3,3,3,775.66
"Jul 25, 2026",HR-SH-TR-650,D2C,Trileaf Rosemary Shampoo - 650 ml,Navdha Shampoo,22,22,32,21988.2
"Jul 25, 2026",FC-DM-DP-030,D2C,Honey Multi-Nut (Dry & Peeling Skin) Face Malai,Face Malai,4,4,4,1247.05
