Variant Key,Winter (Dec,Pre-Summer,Summer,Monsoon,Post-Monsoon,Total,Peak Season,Avg Purchase Gap Days ,Intended Season,Season Match?,Seasonality Strength,,,,,,,
Grammage Transition  — Face Moisturiser,,,,,,,,,,,,,,,,,,
Starting Point,,,Total Who moved forward,Stayed - Repeated Same,,,Upsized,,,Lateral (Same Size Different Category),,Downsized (Moved to Smaller),,,Behaviour Summary,,,
Category,Pack Size,Entry Grammage Context,Total Next Purchases,Repeated Exact Same Product,Repeated Same Size (Any Variant),Repeat %,Upsized To (Count),Upsized To (Destination),Upsize %,Lateral Switch (Count),Lateral Switch (Destination),Downsized To (Count),Downsized To (Destination),Downsize %,Dominant Next Move,Retention Signal,Upsize Opportunity,Risk Flag
Face Malai,30g,Smallest size — entry/trial point,"16,449","9,046","9,046",55.0%,"5,229",Active Gel 50g (primary) | FM 50g (secondary),31.8%,0,N/A — 30g is only available in Face Malai,0,Cannot Downsize — 30g is the smallest size in portfolio,0.0%,Repeat 30g — 55% stay at same size,LOW — Only 55% repeat,"Only 32% upsize from 30g. 1,046 went to FM 50g and 1,570 went to Active Gel 50g",LOYALTY RISK — Repeat rate below 70%
Face Malai,50g,"Mid size — committed buyer
","3,951","1,583","2,441",40.1%,317,Aloe Vera Gel 80g (only upsize path from FM 50g),8.0%,858,"Active Gel 50g (same grammage, different format)",965,Face Malai 30g (only downsize path from FM 50g),24.4%,Repeat FM 50g — 40% stay loyal,DOWNSIZE RISK — 24% of FM 50g buyers drop to 30g. Investigate price sensitivity.,FM 50g can only upsize to Aloe Vera 80g. 317 made this move (8%). Reasonable upsize rate.,24% downsize rate — 965 buyers dropped from 50g to 30g. Check pricing.
Active Gel,50g,Mid size — gel format buyer,"7,183","3,232","4,038",45.0%,625,Aloe Vera Gel 80g (only upsize path from Active Gel),8.7%,806,"Face Malai 50g (same grammage, different format)","1,860",Face Malai 30g (downsize in both size and category switch),25.9%,Repeat Active Gel — 45% stay within Active Gel format,HIGH DOWNSIZE RISK — 26% drop all the way to FM 30g from Active Gel 50g. Check price-value perception.,Active Gel → Aloe Vera upsize: 625 moves (9%). Reasonable cross-sell rate.,26% downsize to FM 30g — significant value step-down
Aloe Vera Gel,80g,Large single pack  — Niche buyer,"4,384",2661,2661,60.7%,0,Cannot Upsize — 80g is the ceiling of the portfolio,N/A — Maximum size in portfolio,0,N/A — No other 80g product in portfolio,"1,642",Active Gel 50g / Face Malai 50g / Face Malai 30g,37.5%,Repeat Aloe 80g — 61% stay at premium size,HIGH DROPOUT — 37% of Aloe Vera buyers step down. May be price-driven or seasonal trial.,N/A — 80g is ceiling. No upsize possible., 37% downsize rate from Aloe Vera. Premium retention strategy needed.
TOTAL,All Sizes,,"31,967","16,522","18,186",51.7%,"6,171",0,19.3%,1664,,"4,467",,14.0%,,,,
,,,,,,,,,,,,,,,,,,
GRAMMAGE BEHAVIOUR CONCLUSIONS,,,,,,,,,,,,,,,,,,
Overall Repeat Behaviour,52% of all face moisturiser transitions are same product repeats. MODERATE — switching behaviour exists across sizes and formats.,,,,,,,,,,,,,,,,,
30g → 50g Conversion (FM Only),"Out of 16,449 FM 30g transitions — 1,046 (6%) moved to FM 50g. This is the primary internal upsize path.",,,,,,,,,,,,,,,,,
30g → Active Gel (Cross-Category Upsize) ,"Out of 16,449 FM 30g transitions — 1,570 (10%) moved to Active Gel 50g. More 30g buyers move to Active Gel than FM 50g — gel format has stronger pull than size upgrade within FM.",,,,,,,,,,,,,,,,,
Downsize Risk Assessment,DOWNSIZE ALERT: 24% of FM 50g buyers drop to 30g (965 transitions). AND 26% of Active Gel buyers also drop to FM 30g. Portfolio-wide downsize pressure detected.,,,,,,,,,,,,,,,,,
Key Business Recommendation ,FOCUS: 30g buyers prefer switching to Active Gel over FM 50g. Bundle strategy: FM 30g + Active Gel 50g trial kit could accelerate this natural behaviour.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,Total Next Purchases,Repeated Exact Same Product,Upsized To (Count) 50G FACE MALAI,Repeat %,Upsize %,,,,,,,,,,,,
30g,JFM 25users who made a next purchase,2152,1162,270,54.0%,12.5%,,,,,,,,,,,,
30g,AMJ 25users ho made a next purchase ,1991,1084,356,54.4%,17.9%,,,,,,,,,,,,
,,Total Next Purchases,Repeated Exact Same Product,DOWNSIZE To (Count) 30G FACE MALAI,Repeat %,Downsize %,,,,,,,,,,,,
50g,JFM 25users who made a next purchase,697,291,183,41.8%,38.7%,,,,,,,,,,,,
50g,AMJ 25users ho made a next purchase ,669,259,178,38.7%,53.2%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Starting Point,,,ORDER FREQUENCY BREAKDOWN,,,,ONE TIME %,REORDER SPEED (DAYS),,,RETENTION METRICS,,,,,,,
Category,Variant,Unique Users per Variant ,Bought Once Only,Bought Twice,Mid Loyal 3-4 Orders,High Loyal 5-6 Orders,Drop Off % (Post Single purchase),Avg Days 1→2,Avg Days 2→3,Overall Avg Gap,Retention Score,,,,,,,
Face Malai,Turmeric Nutmeg,"35,490","29,758","3,642","1,534",556,83.85%,112,104,94,23.61%,,,,,,,
Face Malai,Flax Carrot,"8,306","6,561","1,016",521,208,78.99%,128,119,107,32.29%,,,,,,,
Face Malai,Pomegranate Tulsi,"1,396","1,112",168,81,35,79.66%,138,131,113,31.16%,,,,,,,
Face Malai,Flax Walnut,"12,104","10,048","1,333",537,186,83.01%,115,118,104,24.50%,,,,,,,
Face Malai,Flax Bakuchi,"8,099","6,446",944,502,207,79.59%,130,117,103,31.72%,,,,,,,
Face Malai,Cocoa Mogra,"16,398","13,508","1,809",784,297,82.38%,114,114,95,26.03%,,,,,,,
Face Malai,Tomato Patchouli,"5,478","4,588",583,245,62,83.75%,120,108,93,22.98%,,,,,,,
Face Malai,Tomato Vetiver,"6,640","5,521",712,304,103,83.15%,124,111,100,24.53%,,,,,,,
Face Malai,Tomato Rosehip,"5,994","4,971",658,269,96,82.93%,120,108,97,24.76%,,,,,,,
Face Malai,Honey Multi-Nut,"5,237","4,391",544,215,87,83.85%,109,98,92,23.58%,,,,,,,
Face Malai,GreenApple Tulsi,"1,918","1,547",237,95,39,80.66%,116,110,92,28.36%,,,,,,,
Face Malai,Clove Tea-Tree,"4,921","3,980",569,260,112,80.88%,113,113,97,28.96%,,,,,,,
Face Malai,Winter Blackseed,"1,179",959,143,50,27,81.34%,111,116,95,27.48%,,,,,,,
Face Malai TOTAL,All Variants,"113,160","93,390","12,358","5,397","2,015","82.5% of Face Malai entry customers never returned (93,390 out of 113,160)",117,111,99,25.80%,,,,,,,
Active Gel,Neem TeaTree,"3,523","2,901",388,174,60,82.34%,107,106,92,26.00%,,,,,,,
Active Gel,Aloe Cactus Hydra Lift,"2,126","1,726",251,100,49,81.19%,146,129,113,28.13%,,,,,,,
Active Gel,Olive Vit-E Night,"4,893","3,969",590,239,95,81.12%,127,104,97,27.65%,,,,,,,
Active Gel,Beetroot Tomato Vit-A,"2,550","2,083",323,103,41,81.69%,129,114,101,25.57%,,,,,,,
Active Gel,Orange Kiwi Vit-C,"12,685","10,549","1,410",539,187,83.16%,121,103,97,24.04%,,,,,,,
Active Gel TOTAL,All Variants,"25,777","21,228","2,962","1,155",432,"82.4% of Active Gel entry customers never returned (21,228 out of 25,777)",123,108,99,25.48%,,,,,,,
Aloe Vera Gel,80g,"23,407","20,848","1,802",609,148,"89.1% of Aloe Vera entry customers never returned (20,848 out of 23,407)",102,92,82,14.80%,,,,,,,
GRAND TOTAL,All Products,"162,344","135,466","17,122","7,161","2,595","83.4% of all entry customers never returned (135,466 out of 162,344)",120,111,98,24.16%,,,,,,,
