id,created_at,customer_id,product_category,product_variant,age,skin_type,hair_type,NPS Score For Brand,NPS Score For Product,Brand Customer Migrated From,What do you like about Nat Habit,What do you not like about Nat Habit,Like Product,Not like Product
277395,"Aug 30, 2025, 12:30",4744882,Face Malai,"Tomato Vetiver (Hot Humid) 20 - 35 Yrs Face Malai, Flax Carrot (Hot Humid) 35+ Face Malai - 30g + Cocoa Mogra (Overnight) Face Malai - 30g",55,Normal,Curly / Wavy hair|Coloured|Frizzy,10,10,Assorted,,,Feels lightweight on skin|Made of natural ingredients like rich butters and fresh aloe vera|Gives long lasting moisturisation|Easy to apply & absorbs quickly,No complaints- love the product!
274724,"Aug 27, 2025, 16:17",3496463,Face Malai,GreenApple Tulsi (Hot Humid) 13 - 19 Yrs Face Malai,18,Dry,Curly / Wavy hair,9,10,Nat Habit is my first!,,,Gives long lasting moisturisation,No complaints- love the product!
266085,"Aug 21, 2025, 18:22",2443008,Face Malai,Flax Carrot (Hot Humid) 35+ Face Malai - 30g,63,Normal,Straight hair,10,10,Lakme,,,Made of natural ingredients like rich butters and fresh aloe vera,Skin feels stretched & tight post use
264716,"Aug 20, 2025, 16:40",2116629,Face Malai,"Flax Walnut (Cold) 35+ Face Malai, Winter Blackseed Tulsi (Cold) 13 - 19 Yrs Face Malai",45,Combination,Normal,10,10,Ponds,,,Made of natural ingredients like rich butters and fresh aloe vera|Effectively targets my skin concern|Feels lightweight on skin|Easy to apply & absorbs quickly,No complaints- love the product!
246683,"Aug 4, 2025, 17:04",708819,Face Malai,"Cocoa Mogra (Overnight) Face Malai - 30g, Turmeric Nutmeg (Pigmentation)  Face Malai - 30g",61,Dry,Straight hair|Coloured,10,10,Nat Habit is my first!,,,Gives long lasting moisturisation,Skin feels stretched & tight post use
245081,"Aug 1, 2025, 13:44",3350642,Face Malai,Cocoa Mogra (Overnight) Face Malai - 50g,45,Dry,Very thin hair,10,10,Lakme,,,Feels lightweight on skin,Product is too expensive
275838,"Aug 28, 2025, 17:18",4754658,Face Malai,Clove Tea-Tree (Anti-Acne) Face Malai,22,Oily,Straight hair|Oily scalp,8,9,Dove,,,Gives long lasting moisturisation|Made of natural ingredients like rich butters and fresh aloe vera|Easy to apply & absorbs quickly,Product is too expensive
262211,"Aug 18, 2025, 18:42",4035061,Face Malai,Turmeric Nutmeg (Pigmentation)  Face Malai - 30g,47,Combination,Curly / Wavy hair,10,9,Lotus,,,Gives long lasting moisturisation|Made of natural ingredients like rich butters and fresh aloe vera,Skin feels stretched & tight post use
250637,"Aug 8, 2025, 11:23",4571409,Face Malai,Cocoa Mogra (Overnight) Face Malai - 30g,26,Dry,Dry scalp & Frizzy hair,9,9,Pilgrim,,,Gives long lasting moisturisation,No complaints- love the product!
248933,"Aug 6, 2025, 12:35",4644823,Face Malai,Turmeric Nutmeg (Pigmentation)  Face Malai - 30g,35,Sensitive,Curly / Wavy hair|Dry scalp & Frizzy hair,9,9,Lotus,,,Gives long lasting moisturisation|Feels lightweight on skin|Easy to apply & absorbs quickly,No complaints- love the product!
248021,"Aug 6, 2025, 12:34",4663283,Face Malai,Flax Bakuchi (Hot Dry) 35+ Face Malai - 30g,38,Combination,Straight hair|Dry scalp & Frizzy hair|Dry & Damaged,8,9,Ponds,,,Easy to apply & absorbs quickly|Gives long lasting moisturisation|Feels lightweight on skin,No complaints- love the product!
277511,"Aug 30, 2025, 12:30",555103,Face Malai,Clove Tea-Tree (Anti-Acne) Face Malai,49,Combination,Dry scalp & Frizzy hair,8,8,Cetaphil,,,Gives long lasting moisturisation|Easy to apply & absorbs quickly,Product is too expensive
275027,"Aug 28, 2025, 17:17",4294661,Face Malai,Flax Bakuchi (Hot Dry) 35+ Face Malai - 30g + Cocoa Mogra (Overnight) Face Malai - 30g,56,Combination,Straight hair|Oily scalp,10,8,Himalaya,,,Made of natural ingredients like rich butters and fresh aloe vera|Easy to apply & absorbs quickly|Feels lightweight on skin|Gives long lasting moisturisation,Product is too expensive
265797,"Aug 20, 2025, 16:41",4163214,Face Malai,Flax Bakuchi (Hot Dry) 35+ Face Malai - 30g,38,Combination,Dry scalp & Frizzy hair|Dry & Damaged,10,8,Cetaphil,,,Gives long lasting moisturisation|Made of natural ingredients like rich butters and fresh aloe vera|Easy to apply & absorbs quickly,Lil oily
244779,"Aug 1, 2025, 13:43",1805470,Face Malai,Flax Walnut (Cold) 35+ Face Malai - 30g + Cocoa Mogra (Overnight) Face Malai - 30g,40,Combination,Dry scalp & Frizzy hair|Dry & Damaged,8,8,Nat Habit is my first!,,,Easy to apply & absorbs quickly|Gives long lasting moisturisation,Product is too expensive|Skin feels stretched & tight post use|Since my skin tone is brown it gives dull.look once applied ... but skin is good
247585,"Aug 4, 2025, 17:05",3906448,Face Malai,Cocoa Mogra (Overnight) Face Malai - 30g,42,Oily,Normal,10,7,Vaseline,,,Easy to apply & absorbs quickly,No complaints- love the product!
254538,"Aug 12, 2025, 13:54",369008,Face Malai,Flax Walnut (Cold) 35+ Face Malai,75,Dry,Curly / Wavy hair,10,3,Ponds,,,,Does not give long lasting moisturisation
263583,"Aug 19, 2025, 12:24",295397,Face Malai,Flax Carrot (Hot Humid) 35+ Face Malai - 30g,38,Combination,Oily scalp,1,1,Nat Habit is my first!,,,,Does not absorb well- skin feels greasy post use
277309,"Aug 30, 2025, 12:30",959371,Facial Oil,"Saffron Tuberose Mukhalaya 30 ml, Lotus Marula Mukhalaya 30 ml",37,Normal,Straight hair|Normal,10,10,Nat Habit is my first!,,,High level of purity- made of natural good quality ingredients|Love the smell and texture|Gives deep moisturisation to skin|Effectively treats my skin concerns,No complaints- love the product!|Product is too expensive
276102,"Aug 28, 2025, 17:18",1572648,Facial Oil,Lotus Marula Mukhalaya 30 ml,28,Oily,Normal|Dry & Damaged,10,10,Nat Habit is my first!,,,Does not leave face looking greasy like other face oils I've tried,No complaints- love the product!
274179,"Aug 27, 2025, 16:16",904798,Facial Oil,Turmeric Rosehip Mukhalaya 15 ml,47,Dry,Dry scalp & Frizzy hair,9,10,Kama Ayurveda,,,High level of purity- made of natural good quality ingredients|Gives deep moisturisation to skin|Effectively treats my skin concerns,No complaints- love the product!
250681,"Aug 8, 2025, 11:23",3120480,Facial Oil,Patchouli Manjistha Mukhalaya 30 ml,45,Combination,Normal,10,10,Nat Habit is my first!,,,Love the smell and texture|High level of purity- made of natural good quality ingredients|Gives deep moisturisation to skin|Effectively treats my skin concerns|Does not leave face looking greasy like other face oils I've tried,No complaints- love the product!
250600,"Aug 8, 2025, 11:23",29680,Facial Oil,Turmeric Rosehip Mukhalaya 30 ml,47,Combination,Oily scalp,7,10,Kama Ayurveda,,,Does not leave face looking greasy like other face oils I've tried,No complaints- love the product!
246885,"Aug 4, 2025, 17:04",3706363,Facial Oil,Saffron Tuberose Mukhalaya 30 ml,62,Dry,Dry & Damaged,10,10,Nat Habit is my first!,,,Gives deep moisturisation to skin,No complaints- love the product!
245967,"Aug 2, 2025, 15:04",4634038,Facial Oil,Turmeric Rosehip Mukhalaya 30 ml,54,Combination,Coloured,10,10,Nat Habit is my first!,,,Gives deep moisturisation to skin|High level of purity- made of natural good quality ingredients|Love the smell and texture|Effectively treats my skin concerns,No complaints- love the product!
245376,"Aug 1, 2025, 13:44",1844522,Facial Oil,Turmeric Rosehip Mukhalaya 30 ml,49,Combination,Curly / Wavy hair|Dry scalp & Frizzy hair|Dry & Damaged,9,10,Forest essentials,,,High level of purity- made of natural good quality ingredients|Gives deep moisturisation to skin|Love the smell and texture,No complaints- love the product!
257054,"Aug 14, 2025, 16:03",814166,Facial Oil,Saffron Tuberose Mukhalaya 30 ml,33,Oily,Curly / Wavy hair,10,9,Nat Habit is my first!,,,High level of purity- made of natural good quality ingredients,No complaints- love the product!
247444,"Aug 4, 2025, 17:05",499724,Facial Oil,Saffron Tuberose Mukhalaya 30 ml,40,Normal,Straight hair,10,9,Nat Habit is my first!,,,High level of purity- made of natural good quality ingredients|Love the smell and texture,No complaints- love the product!
246458,"Aug 4, 2025, 17:04",4256042,Facial Oil,Turmeric Rosehip Mukhalaya 30 ml,70,Normal,Curly / Wavy hair|Normal,9,9,Cream,,,Love the smell and texture|High level of purity- made of natural good quality ingredients|Gives deep moisturisation to skin|Does not leave face looking greasy like other face oils I've tried|Effectively treats my skin concerns,No complaints- love the product!
250997,"Aug 8, 2025, 11:23",600085,Facial Oil,Classical Nalpamaradi Mukhalaya 30 ml,40,Normal,Normal,8,8,Nat Habit is my first!,,,Gives deep moisturisation to skin,No complaints- love the product!
277833,"Aug 30, 2025, 12:31",1008520,Facial Oil,Classical Kumkumadi Mukhalaya 10 ml,61,Combination,Curly / Wavy hair|Dry & Damaged,10,6,Nat Habit is my first!,,,Love the smell and texture,Is not effective for my target concern|Product is too expensive
269873,"Aug 24, 2025, 12:35",4645659,Flora Jal,Pure Gulab Jal - Single Pack,44,Normal,Dry scalp & Frizzy hair,9,10,Nat Habit is my first!,,,Purity- high grade and unadulterated|Good value for money|Leaves skin feeling hydrated|Leaves skin feeling refreshed,No complaints- love the product!
269009,"Aug 23, 2025, 14:49",4739859,Flora Jal,Pure Lavender Jal - Single Pack,34,Combination,Oily scalp,10,10,The body shop,,,Purity- high grade and unadulterated,No complaints- love the product!
265611,"Aug 20, 2025, 16:41",1503420,Flora Jal,Pure Gulab Jal - Pack of 3,38,Combination,Straight hair,9,10,Biotique,,,Leaves skin feeling hydrated,No complaints- love the product!
261461,"Aug 18, 2025, 18:41",4720077,Flora Jal,Pure Lavender Jal - Single Pack,49,Oily,Dry scalp & Frizzy hair,10,10,Dabur,,,Good value for money|Purity- high grade and unadulterated,Product is too expensive
255866,"Aug 12, 2025, 13:55",3457800,Flora Jal,Pure Gulab Jal - Single Pack,63,Oily,Oily scalp,10,10,Fab India,,,Purity- high grade and unadulterated,No complaints- love the product!
255547,"Aug 12, 2025, 13:55",4659969,Flora Jal,Pure Gulab Jal - Single Pack,30,Dry,Straight hair|Normal,10,10,Nat Habit is my first!,,,Purity- high grade and unadulterated|Good value for money|Leaves skin feeling hydrated|Leaves skin feeling refreshed|Your skin becomes very good and your hair also becomes very good,No complaints- love the product!
250689,"Aug 8, 2025, 11:23",1261694,Flora Jal,Pure Gulab Jal - Single Pack,59,Normal,Straight hair|Dry scalp & Frizzy hair,10,10,Bodyshop,,,Leaves skin feeling refreshed|Purity- high grade and unadulterated|Good value for money|Leaves skin feeling hydrated,No complaints- love the product!
248395,"Aug 6, 2025, 12:34",1506144,Flora Jal,Pure Mogra Jal - Single Pack,58,Dry,Dry scalp & Frizzy hair|Dry & Damaged,10,10,Nat Habit is my first!,,,Purity- high grade and unadulterated|Good value for money|Leaves skin feeling refreshed,It's smelling stale
245912,"Aug 2, 2025, 15:04",212240,Flora Jal,Pure Lavender Jal - Single Pack,57,Sensitive,Curly / Wavy hair|Coloured,10,10,Forest Essentials,,,Purity- high grade and unadulterated,No complaints- love the product!
252406,"Aug 10, 2025, 10:46",1062354,Flora Jal,Pure Gulab Jal - Single Pack,38,Combination,Oily scalp|Dry & Damaged,10,9,Nat Habit is my first!,,,Purity- high grade and unadulterated,No complaints- love the product!
248279,"Aug 6, 2025, 12:34",2071502,Flora Jal,Pure Lavender Jal - Single Pack,62,Dry,Dry & Damaged,9,9,Biotique,,,Leaves skin feeling refreshed,No complaints- love the product!
246033,"Aug 2, 2025, 15:04",3829658,Flora Jal,Pure Gulab Jal - Single Pack,28,Combination,Straight hair,9,9,Dabur,,,Purity- high grade and unadulterated,Product is too expensive
249630,"Aug 7, 2025, 16:02",2806522,Flora Jal,Pure Lavender Jal - Single Pack,40,Combination,Dry scalp & Frizzy hair,8,8,Biotique,,,Purity- high grade and unadulterated,No complaints- love the product!
244868,"Aug 1, 2025, 13:43",4635230,Flora Jal,Pure Lavender Jal - Single Pack,50,Combination,Straight hair,8,8,Nat Habit is my first!,,,Leaves skin feeling hydrated,No complaints- love the product!
257938,"Aug 15, 2025, 17:29",2512544,Flora Jal,Pure Lavender Jal - Single Pack,59,Combination,Normal,9,5,Nat Habit is my first!,,,Leaves skin feeling hydrated,Does not absorb well
275550,"Aug 28, 2025, 17:18",4756265,Flora Jal,Pure Lavender Jal - Single Pack,24,Normal,Curly / Wavy hair,1,1,Minimalist,,,,"Does not suit skin- causes pimples, breakouts, redness, etc"
277769,"Aug 30, 2025, 12:30",831509,Hair Balm,Almond Marula Hair Balm,56,Dry,Curly / Wavy hair|Coloured|Dry & Damaged,10,10,Nat Habit is my first!,,,Helps tame frizzy hair & makes hair smooth,No complaints
248028,"Aug 6, 2025, 12:34",2725941,Hair Balm,Argan Grapeseed Hair Balm,45,Normal,Curly / Wavy hair|Oily scalp,10,10,Nat Habit is my first!,,,Helps tame frizzy hair & makes hair smooth,Not easy to use/apply
277686,"Aug 30, 2025, 12:30",3940907,Hand Malai,Lemon Moringa Hand Malai - Single Pack,40,Normal,Curly / Wavy hair|Dry scalp & Frizzy hair,10,10,Nat Habit is my first!,,,Great moisturiser for hands,No complaints- love the product!
277601,"Aug 30, 2025, 12:30",2052193,Hand Malai,Lemon Moringa Hand Malai - Single Pack,66,Dry,Dry scalp & Frizzy hair|Coloured|Curly / Wavy hair,8,10,Jergens,,,Great moisturiser for hands|Made of all-natural good quality ingredients|Good value for money|Really like the smell,No complaints- love the product!
277370,"Aug 30, 2025, 12:30",1360146,Hand Malai,Lemon Moringa Hand Malai - Single Pack,50,Normal,Curly / Wavy hair,10,10,Lakme,,,Made of all-natural good quality ingredients,Leaves hands feeling greasy post use
265437,"Aug 20, 2025, 16:41",677643,Hand Malai,Lemon Moringa Hand Malai - Single Pack,55,Sensitive,Curly / Wavy hair,10,10,Nat Habit is my first!,,,Made of all-natural good quality ingredients,No complaints- love the product!
255034,"Aug 12, 2025, 13:54",4688003,Hand Malai,Lemon Moringa Hand Malai - Single Pack,29,Dry,Dry scalp & Frizzy hair,10,10,Nat Habit is my first!,,,Great moisturiser for hands|Made of all-natural good quality ingredients|Good value for money|Really like the smell,No complaints- love the product!
252114,"Aug 10, 2025, 10:46",3347651,Hand Malai,Lemon Moringa Hand Malai - Single Pack,62,Normal,Dry scalp & Frizzy hair,10,10,Neutrogena,,,Great moisturiser for hands,No complaints- love the product!
277294,"Aug 30, 2025, 12:30",97810,Hand Malai,Mango Cinnamon Hand Malai  - Single Pack,37,Sensitive,Coloured|Curly / Wavy hair|Normal,10,9,no one,,,Great moisturiser for hands,Doesn't like smell of this particular product
275151,"Aug 28, 2025, 17:17",2821769,Hand Malai,Lemon Moringa Hand Malai - Single Pack,52,Combination,Dry & Damaged,7,9,Vaseline,,,Really like the smell|Great moisturiser for hands,No complaints- love the product!
256144,"Aug 14, 2025, 16:02",4708212,Hand Malai,Lemon Moringa Hand Malai - Single Pack,35,Combination,Curly / Wavy hair|Dry scalp & Frizzy hair,10,9,Body Shop,,,Great moisturiser for hands|Good value for money|Really like the smell|Made of all-natural good quality ingredients,No complaints- love the product!
252801,"Aug 10, 2025, 10:47",2309184,Hand Malai,Lemon Moringa Hand Malai - Single Pack,32,Oily,Curly / Wavy hair,10,9,Body Shop,,,Made of all-natural good quality ingredients,No complaints- love the product!
247794,"Aug 4, 2025, 17:05",3628400,Hand Malai,Lemon Moringa Hand Malai - Single Pack,55,Combination,Curly / Wavy hair,10,9,Nat Habit is my first!,,,Great moisturiser for hands|Made of all-natural good quality ingredients,Leaves hands feeling greasy post use|No complaints- love the product!
277415,"Aug 30, 2025, 12:30",2463131,Hand Malai,Lemon Moringa Hand Malai - Single Pack,40,Sensitive,Curly / Wavy hair|Dry & Damaged|Dry scalp & Frizzy hair,10,8,Senamed,,,Great moisturiser for hands,Leaves hands feeling greasy post use
273287,"Aug 27, 2025, 16:16",3948486,Hand Malai,Lemon Moringa Hand Malai - Single Pack,42,Combination,Curly / Wavy hair,10,8,Nat Habit is my first!,,,Made of all-natural good quality ingredients,No complaints- love the product!
269278,"Aug 23, 2025, 14:49",2436935,Hand Malai,Lemon Moringa Hand Malai - Single Pack,30,Oily,Oily scalp,10,8,Vaseline,,,Great moisturiser for hands,No complaints- love the product!
268352,"Aug 22, 2025, 13:42",4219692,Hand Malai,Lemon Moringa Hand Malai - Single Pack,31,Oily,Straight hair|Dry & Damaged,9,8,Oriflame,,,Great moisturiser for hands,Do not like the smell|Leaves hands feeling greasy post use
266203,"Aug 21, 2025, 18:22",4736245,Hand Malai,Lemon Moringa Hand Malai - Single Pack,39,Combination,Curly / Wavy hair|Dry scalp & Frizzy hair|Coloured,9,7,"Venuisa, aquasoft",,,Great moisturiser for hands|Really like the smell,Doesn't stay for long
248027,"Aug 6, 2025, 12:34",2356698,Hand Malai,Lemon Moringa Hand Malai - Single Pack,41,Combination,Straight hair|Oily scalp,9,7,Baby lotion,,,Great moisturiser for hands,Leaves hands feeling greasy post use|Do not like the smell
273532,"Aug 27, 2025, 16:16",2569325,Hand Malai,Lemon Moringa Hand Malai - Single Pack,42,Dry,Dry scalp & Frizzy hair|Dry & Damaged,7,6,Plum,,,Made of all-natural good quality ingredients,Low value for money
256698,"Aug 14, 2025, 16:03",4692868,Hand Malai,Lemon Moringa Hand Malai - Single Pack,36,Combination,Dry scalp & Frizzy hair,7,6,Nat Habit is my first!,,,Really like the smell,No complaints- love the product!
249883,"Aug 7, 2025, 16:02",4661874,Hand Malai,Lemon Moringa Hand Malai - Single Pack,43,Combination,Dry & Damaged,10,6,Plum,,,Made of all-natural good quality ingredients,Leaves hands feeling greasy post use|Do not like texture/ consistency
260521,"Aug 16, 2025, 12:45",328247,Hand Malai,Lemon Moringa Hand Malai - Single Pack,29,Oily,Dry scalp & Frizzy hair|Dry & Damaged|Curly / Wavy hair,1,1,Nat Habit is my first!,,,,Fragrance
275393,"Aug 28, 2025, 17:17",4757043,Henna,Henna Paste - Pack of 2,43,Combination,Straight hair,8,8,Nat Habit is my first!,,,Easy to use & ready to apply|Good value for money|Superior quality of henna,Consistency of paste is too liquid / runny|Does not give expected colour to hair
275834,"Aug 28, 2025, 17:18",2676520,Henna,Henna Paste - Pack of 2,26,Sensitive,Straight hair,10,10,Godrej Nupur,,,Gives hair deep rich colour|Good value for money|Easy to use & ready to apply,Does not give expected colour to hair
263306,"Aug 19, 2025, 12:23",3664163,Henna,Henna Paste - Pack of 2,32,Sensitive,Dry scalp & Frizzy hair|Dry & Damaged,10,10,Godrej Nupur,,,Gives hair deep rich colour|Easy to use & ready to apply|Good value for money,Does not give expected colour to hair
262930,"Aug 19, 2025, 12:23",4726454,Henna,Henna Touch-Up Paste - Single Pack,54,Oily,Straight hair,10,10,Nat Habit is my first!,,,Easy to use & ready to apply,Does not give expected colour to hair
272183,"Aug 25, 2025, 16:19",1309236,Henna,Henna Paste - Pack of 2,43,Normal,Dry scalp & Frizzy hair|Dry & Damaged|Curly / Wavy hair,8,8,Mamaearth,,,Easy to use & ready to apply|Gives hair deep rich colour|Superior quality of henna,Does not give expected colour to hair
275411,"Aug 28, 2025, 17:17",4756954,Henna,Henna Paste - Pack of 2,33,Normal,Straight hair|Normal,7,7,Herbal me,,,Easy to use & ready to apply,Does not give expected colour to hair
263803,"Aug 19, 2025, 12:24",4717868,Henna,"Henna Touch-Up Paste  - Pack of 2, Henna Paste - Pack of 2",59,Dry,Dry scalp & Frizzy hair,8,7,Nat Habit is my first!,,,Easy to use & ready to apply,Does not give expected colour to hair
